Dataseed	Params-combination	T(entropy,2,0.01,0.2)	T(entropy,2,0.01,0.4)	T(entropy,2,0.01,0.6)	T(entropy,4,0.01,0.2)	T(entropy,4,0.01,0.4)	T(entropy,4,0.01,0.6)	RF(1.0,50,half,all)	RF(1.0,50,half,all)σ²	RF(1.0,50,half,all)t	RF(1.0,100,half,all)	RF(1.0,100,half,all)σ²	RF(1.0,100,half,all)t	
1	stump_with_memoization,TestOp_80,("FingerMovements",false),(false,"interval2D"),5	(-7.14, 46.43, 45.24, 47.62, 46.34, 46.51, 45.78, 77, -Inf, -Inf, 435.045, 0b3ce77c5fe53b9a025291474f1827ba363d9adba2d5209d0c576db3fd3cb6c6)	(-7.14, 46.43, 50.0, 42.86, 46.67, 46.15, 48.28, 65, -Inf, -Inf, 121.822, 263af05e49736a153550c4d8fcda486b9b2016f9a1b2d4e06f6d72f6bf3a3a00)	(-9.52, 45.24, 45.24, 45.24, 45.24, 45.24, 45.24, 47, -Inf, -Inf, 120.28, 00357426b06fd8489cb94cf7be7b9b28b2434db2daac5d495b30a80705c06e95)	(-7.14, 46.43, 52.38, 40.48, 46.81, 45.95, 49.44, 71, -Inf, -Inf, 122.834, 4c85165fc3e455bbedcf0cf43f0fd9873c615f0c96418b6428f4cec88251c827)	(-7.14, 46.43, 50.0, 42.86, 46.67, 46.15, 48.28, 59, -Inf, -Inf, 121.83, 44c5a4db808a6e06fc76e7fb3044b7cba5d564627764af975a0f7b4bbf6f89e2)	(-9.52, 45.24, 45.24, 45.24, 45.24, 45.24, 45.24, 47, -Inf, -Inf, 120.421, e87a8d6de9824b470bd2ec480f1f6e8bfff4ffdce944153aeba65789da60a1eb)	(17.14, 58.57, 56.19, 60.95, 59.59, 57.99, 57.55, 0.0, 330360.0)	(0.007199546485260768, 0.0017998866213151921, 0.002721088435374151, 0.010941043083900228, 0.0031700881670109317, 0.0013527591577551087, 0.0009816509756498163, 0.0, 1154.8)	(0.0, ("3dc2406a73a465f45f660e0d27920d9c76ce51d173fc18db5f46bb92a83f22c8", "acef04b87d60f69ea32aecbb591596ec80a774cad3fed94d06951235c002452b", "7c3841751e399d8ab253df0a38f7eb70afa775f4ff39984c459b6c9c60f07321", "4555a0d3ac167b9e721ae88e842359ba4b400e8704d985188c1106fcbbbc913f", "03866c211244086b568be7cb1ec03bc9b41d668e7fac4346bd9ae48392a6f3ec"))	(12.38, 56.19, 56.67, 55.71, 56.2, 56.2, 56.42, 46.63, 658920.0)	(0.0032312925170068004, 0.0008078231292517001, 0.0003968253968253956, 0.001870748299319728, 0.000896059705939388, 0.000739639105101646, 0.0005400774016046878, 0.00028305995064595757, 2927.2)	(10029.874, ("6d42bba035d4f19efeb3012d26285845c9396b2ceeea7ef91b4cf89de8d1bb24", "a85861047358a479edd1e1212205de10745599916e915fc59fccabe2eefec276", "2431636f96b31b7b850c854af2767106ff702e5edae04b41d2e8dd83652f8b49", "2ce95e1074d3fb01ad1c9b3d91e104ed2464decb7b59f7571d7bd0842e98994f", "6d3f33bf05e1396b5ea24f834ed555f06e33361526e002e5bd86a7fbe807091f"))	
2	stump_with_memoization,TestOp_80,("FingerMovements",false),(false,"interval2D"),5	(19.05, 59.52, 54.76, 64.29, 60.53, 58.7, 57.5, 85, -Inf, -Inf, 191.863, 931015a42f78c31300070219117e16041180bd4c21dad532525235c8eaec0dcd)	(21.43, 60.71, 57.14, 64.29, 61.54, 60.0, 59.26, 79, -Inf, -Inf, 171.911, 0b3b3358338b6f1f9ff3b3c1f29bb63e3fa5fd2c1cfe36cf7fbb12160eb34ebe)	(38.1, 69.05, 66.67, 71.43, 70.0, 68.18, 68.29, 43, 0.7325396825396826, 0.6152777777777777, 162.681, 7375dab90269d4d73190b47b7ffc944157d353d54a09c7c699891877d7055a05)	(30.95, 65.48, 64.29, 66.67, 65.85, 65.12, 65.06, 71, -Inf, -Inf, 171.343, f25f1a9ae3d0a58af8c2d13bb6e92eaa53ba380bf2ceb0ec2ea76d8794ec5eb7)	(30.95, 65.48, 64.29, 66.67, 65.85, 65.12, 65.06, 67, -Inf, -Inf, 169.821, 072aacaa747a118e5a1dec11927ae4b9052615dca5867c7ea33d8d7d8009d961)	(38.1, 69.05, 66.67, 71.43, 70.0, 68.18, 68.29, 43, 0.7325396825396826, 0.6152777777777777, 161.193, 7375dab90269d4d73190b47b7ffc944157d353d54a09c7c699891877d7055a05)	(19.05, 59.52, 50.48, 68.57, 61.75, 58.02, 55.52, 0.0, 329480.0)	(0.003117913832199548, 0.000779478458049887, 0.0003968253968253977, 0.0020975056689342413, 0.0014618817979808697, 0.0004798679546057744, 0.0005923419408106342, 0.0, 1585.2)	(0.0, ("24d238b67a33f22ce9dd48e2f6e8bd94fb8fd079d86a0f1d8f10b4213d709d1f", "114b7cac7090da389d27de560a575c45655d4d17fc100af8f1f499525f550c8a", "f35afc2bcd2665da98bfe53c5e92ceccdb9ebb0a200d1a3dd529318f4b7b07ad", "b78c57b598294256369f0d886103c284bb33df82be36420773266f3115fc8376", "bb4a7d00b30c7d2132f91b76f48ebe4d648b96faca889b24b0158060654c99b2"))	(19.05, 59.52, 52.86, 66.19, 61.0, 58.41, 56.62, 49.58, 661240.0)	(0.003684807256235833, 0.0009212018140589582, 0.001247165532879819, 0.001247165532879818, 0.0012553668017037127, 0.0007096360780481286, 0.0011540434173676728, 0.0004835607490201761, 4542.8)	(10009.634, ("ac445f3399fc7c907e9b44782d257ad95f80c5e76f03c936367cdef43d8d704a", "6f8cb780930362751bd7365687b6e94edb909718f277e94deffb5f3782f432cd", "a7cb6dc3edfa31cde019ca477e3efcdc90e02f679960ae4959c286e10101835f", "7f5b2b01df692bd0d1e39b500b428115c523ecb72813d088867a08620b9c8301", "e639a0e9d6f5d14c2b92fbb4c729d89e5a229a8755fdfd39d964124205d26e52"))	
3	stump_with_memoization,TestOp_80,("FingerMovements",false),(false,"interval2D"),5	(-7.14, 46.43, 47.62, 45.24, 46.51, 46.34, 47.06, 85, 0.5619047619047619, 0.48333333333333334, 156.095, ff9bde2adc74235940430ce8d32a1f4071def7f82ac00b7605065ffe14482a76)	(-4.76, 47.62, 47.62, 47.62, 47.62, 47.62, 47.62, 65, 0.5619047619047619, 0.48333333333333334, 151.594, 963462189e5ef04416d7a2d63ff63240c07a19ec1b3c231fded7c454bb45a566)	(-4.76, 47.62, 57.14, 38.1, 48.0, 47.06, 52.17, 33, 0.5395238095238095, 0.49416666666666664, 146.482, de438481ba297edd96c9d42c1a850f261d845438e9a0dbd70b62ed49f7061954)	(11.9, 55.95, 52.38, 59.52, 56.41, 55.56, 54.32, 75, 0.5619047619047619, 0.48333333333333334, 151.168, a9048fc56298a089dd0a161cad25f48ccd366ebb231d94191c5bca58dcc1e860)	(4.76, 52.38, 54.76, 50.0, 52.27, 52.5, 53.49, 63, 0.5619047619047619, 0.48333333333333334, 151.058, dfcd2facaf168475e6726396718005666bbc3b16bde783de87fc532590b8b0e8)	(-4.76, 47.62, 57.14, 38.1, 48.0, 47.06, 52.17, 33, 0.5395238095238095, 0.49416666666666664, 146.05, de438481ba297edd96c9d42c1a850f261d845438e9a0dbd70b62ed49f7061954)	(-1.9, 49.05, 46.19, 51.9, 49.2, 48.92, 47.6, 0.0, 324560.0)	(0.008049886621315188, 0.0020124716553287965, 0.0007369614512471658, 0.0054988662131519265, 0.002073281169528059, 0.001990241228055958, 0.0010803154304164623, 0.0, 1852.8)	(0.0, ("cacdf9c9c551d66c5786fb3abfceec9c23815f03b28eb75f292a666676df1864", "85098ee342943a230d6deea654f945ad44956d4838526f5ca1210429126ce893", "15a449d2df0685bce6d19eaeb4abb5fd1e111f274df44847554ac5256c2709b6", "ec06906094aa3dc519df5083e5f652e9bada68d022416ece78392558fea5406c", "5eaf1daac06053bbc22cb2f24f8c7acfb6ae3e1eb48b9d8dd54b8772cdfd25ed"))	(0.48, 50.24, 49.05, 51.43, 50.34, 50.16, 49.61, 43.55, 650320.0)	(0.004365079365079364, 0.001091269841269841, 0.0018707482993197298, 0.003854875283446713, 0.001121937511255962, 0.0010787055947796527, 0.0010302611482472556, 0.0005153142691246914, 5769.2)	(9889.766, ("32c94fc70041effca1f2d3c49c79ff4a496098650d8c1f1c889621b4a2ea16fb", "64de52ba482ff724d16d6c8f90017f60c0eba4ee121bab56ce81252c7452a252", "6d617919c51e7541dc6a4556461979548ad7a35d8f761afa2533dc5241ef59b1", "5e3e0eed89f782cb9cc8c5b6f5a586d311d3a9647010e14c38c2f84428f8defc", "99e67872874cb7c0f5d6d58a17fc9474068a7a1ada224335fdf572385e758d0d"))	
4	stump_with_memoization,TestOp_80,("FingerMovements",false),(false,"interval2D"),5	(-7.14, 46.43, 50.0, 42.86, 46.67, 46.15, 48.28, 75, -Inf, -Inf, 144.251, 6df1932b67374431cfded3c9b1d178b8bb77bb4932d7191fcce8a08d0fa86701)	(-14.29, 42.86, 47.62, 38.1, 43.48, 42.11, 45.45, 59, -Inf, -Inf, 143.283, 0add36de2c8d61f8894c4a497fffb062ffea51b3ee6dafe27a876e632a3089e7)	(-11.9, 44.05, 45.24, 42.86, 44.19, 43.9, 44.71, 45, -Inf, -Inf, 135.232, 1ac754e657d01eee515badbd55275656e8c21da25d59437adffec7b25c7fe69e)	(-9.52, 45.24, 47.62, 42.86, 45.45, 45.0, 46.51, 71, -Inf, -Inf, 143.853, 1ba0f46ba4b9595874589de9ac51e2cc7e469fb8415b4dda85af5777ced66993)	(-11.9, 44.05, 47.62, 40.48, 44.44, 43.59, 45.98, 57, -Inf, -Inf, 141.849, 1e1c0b602085db027e68cc2f9c3047237cf03b88734783bb3d5846edaeb9feeb)	(-11.9, 44.05, 45.24, 42.86, 44.19, 43.9, 44.71, 45, -Inf, -Inf, 135.005, fdb468934703612230e819b6fce4e35df3a0da129bfa062273ad9d23ff909c83)	(-2.38, 48.81, 39.05, 58.57, 48.58, 48.97, 43.22, 0.0, 321400.0)	(0.0019841269841269805, 0.0004960317460317451, 0.001303854875283447, 0.0024376417233560087, 0.0007438848652667632, 0.00036388552531199837, 0.0007947794307081584, 0.0, 1060.0)	(0.0, ("29f1ba9086221043716c0f058703615ed2dfe2a8439bb2cd54b16ea0691a8a43", "7e7b4ed033b1adee8941aeac6f83b3f7866077b08c719b0c2504867cb679de02", "8edc12eb143bded9a0aba05b97044d634644da77ad196967a15590cb3bbff637", "b52d39073d7d730f97ac533c451504d123685e119828120e168244b3622044f7", "4663c4226c0c2a4da23a3b3043fd3820b327f5e69f1b33ba8f65a9a2765b3bfe"))	(3.33, 51.67, 44.29, 59.05, 52.02, 51.42, 47.8, 47.05, 646320.0)	(0.0018707482993197276, 0.00046768707482993196, 0.0007369614512471651, 0.0018140589569161, 0.0006772120612951054, 0.00034239067055393663, 0.0004809127008127468, 0.0006641021919001302, 609.2)	(9756.863, ("02c38ee49003ef79cd54f8ddd5075ece40b27e91022b872e62797f45f54e10f0", "c4a25ae2105fb5f4c6370702ccbeaf35646dc94fc72d8bf00b50d7c7f0cb9ab7", "d8b17fd850d2d67e1b30d2c85ef2f15ec19cdc2690b40546617c9fc199c532c4", "4e54bc0c6a14f1ea448faa1f5bcff51d2a6928506c13c6015f9cdea58f6710f3", "563198d26c4bf37d3880cf4a1ed8ee874344acd8cd5572868c7e5d5724fde610"))	
5	stump_with_memoization,TestOp_80,("FingerMovements",false),(false,"interval2D"),5	(-4.76, 47.62, 52.38, 42.86, 47.83, 47.37, 50.0, 85, -Inf, -Inf, 174.045, 6c703b71718733c92711070e0d948b24f77f5080ef607ab297da6dc92b5f4fcf)	(2.38, 51.19, 52.38, 50.0, 51.16, 51.22, 51.76, 75, -Inf, -Inf, 170.742, 425678f2a22fe5ab7ededf1e33b6f9c9f37baaa624daf5d8de7cc108665a6cf4)	(14.29, 57.14, 52.38, 61.9, 57.89, 56.52, 55.0, 47, 0.6522408963585434, 0.5678921568627451, 169.63, 75469f93c3eac9ada934f8880b02a4884b8a5b780cf3976d95074de6c2a60ce5)	(-2.38, 48.81, 47.62, 50.0, 48.78, 48.84, 48.19, 77, -Inf, -Inf, 173.257, 430feb5966a8971c1a9c0f3533e5578c3716faef5b5d7e8e1096fecb1fd521aa)	(-2.38, 48.81, 47.62, 50.0, 48.78, 48.84, 48.19, 67, -Inf, -Inf, 170.215, 14531feabdd88e8333e09e3fdda3b067cf5cc1a997b3a295b6d68830224d2ed6)	(16.67, 58.33, 52.38, 64.29, 59.46, 57.45, 55.7, 45, 0.6522408963585434, 0.5678921568627451, 170.036, ba95bf67071d931b17986ba70c4eddd56028b8c5109dac3bd1b44bb944b59fe7)	(3.33, 51.67, 48.57, 54.76, 51.86, 51.51, 50.14, 0.0, 324480.0)	(0.004705215419501133, 0.001176303854875283, 0.0007369614512471662, 0.0025510204081632655, 0.0014013288235395303, 0.0010046477583585131, 0.0009131194133949039, 0.0, 1719.2)	(0.0, ("1eea53ce2240d36f3861b7000f129b4e569143edd0d55f4694a488bbc64063f4", "1aaa10c97b9f8284f049cd3e60c6da5b128f906172f410e94f59d4ea6b4ddb0d", "66421fd1eb31b1543415b7b1a3633ec51ab31ccfe0b7cddf42d99b2e73912d3f", "4cf1090e09181ec646d363593209a4b3ccea670dca6792e124fe1be74efdfaad", "0343056e6dadb071332ada890ae07bed16950495f3240d80c37a9d1c3db2b135"))	(3.81, 51.9, 49.52, 54.29, 52.1, 51.75, 50.72, 45.96, 649240.0)	(0.004138321995464858, 0.0010345804988662142, 0.00124716553287982, 0.003231292517006804, 0.0011846785592545038, 0.0009324743433263187, 0.0008754997857068681, 0.0008419219044854118, 2768.8)	(10353.793, ("ac93018d63ee1521329449954470604f5df2c664ae4710e217f516304e4c62e5", "ca574e0ceb2219e6c10605dbb26b2abccf441c4bada73ef4350acf25119e118c", "66de44f1d7f7949318e458d80d67af418077ae1a86c9fd8b5ef23c976f85d039", "6ee391bda4855ae5d1fc757bee98a0568834c6ce13472877af3b990d850ef1b9", "f4343516105c18c86e487c676b60a55c2f69644c07393aa9a8e5c745a3858764"))	
6	stump_with_memoization,TestOp_80,("FingerMovements",false),(false,"interval2D"),5	(2.38, 51.19, 52.38, 50.0, 51.16, 51.22, 51.76, 83, 0.5038095238095238, 0.4316666666666667, 216.611, ca06fdbf86584f773578ce42aec67ef4390038ef14f46913060505a175b59f73)	(2.38, 51.19, 47.62, 54.76, 51.28, 51.11, 49.38, 67, 0.5038095238095238, 0.4316666666666667, 214.572, e7ce994cab96195886e9b3fd44ee43040310fe54bbe38d7c10d0cba9a0d75634)	(2.38, 51.19, 50.0, 52.38, 51.22, 51.16, 50.6, 39, -Inf, -Inf, 211.399, 2be5c8c300a0632b28bd4f19875a5b0b3a4560d39d064df71541db6d823b5087)	(2.38, 51.19, 45.24, 57.14, 51.35, 51.06, 48.1, 75, 0.5038095238095238, 0.4316666666666667, 216.886, bcb878a5e93cca0b6604693c4f6e084b7a8a849f8f18577b4da1b286b103ecc6)	(-4.76, 47.62, 40.48, 54.76, 47.22, 47.92, 43.59, 59, 0.5038095238095238, 0.4316666666666667, 213.699, 5a4f1244394a5ffc9fb6b1ac00a8a09ac8b0019028f516dad18acee895a791c3)	(2.38, 51.19, 50.0, 52.38, 51.22, 51.16, 50.6, 39, -Inf, -Inf, 210.21, 8cba9e1ffdf95933a5efcad2a6bcd35d4df4051c61b75614666688e1cb2e3715)	(7.62, 53.81, 43.33, 64.29, 54.98, 53.1, 48.42, 0.0, 327760.0)	(0.003798185941043085, 0.0009495464852607713, 0.000680272108843537, 0.0028344671201814067, 0.001710077025147371, 0.0006181810300702527, 0.0007274851649136821, 0.0, 2108.7999999999997)	(0.0, ("bd22c92df5ff23d5d8ceade9646db0dca59f551685ac4d511c4c0ea2467be944", "e15c80eb58ec0868bd6489647b4f3685cbd13cef4671e0bcf3749702c2b07aad", "ab520d0df4305f929bba519734b5edaa20bcd0dbd2fb710521983e0bad5b7b8b", "66a9f76797bca4276b329d7f4fd345dcb865786a1e7169731b1113232032b631", "60474c3d1a0bbd742eb8145aee1e260018fdcb242707ad0ea0d364bbe16a4fca"))	(8.1, 54.05, 46.19, 61.9, 54.79, 53.5, 50.12, 47.41, 658520.0)	(0.0013038548752834513, 0.0003259637188208628, 0.00045351473922902475, 0.0002834467120181412, 0.0004565381708238859, 0.0002449066361238364, 0.00044923441526838046, 0.00018417041660618417, 4649.199999999999)	(10304.111, ("d2c7b3c2005bc25f0ed791c1d07ee2705c72453f138e1d7aa6e8a5a4bdf1b5c7", "11c66a7360747ad74b16e982e66a2c6be8a591d8c908e45964bdbb4793366548", "075ba1e98f72d495fc13e07a46e47a212990c00a5e663e6d0f6b1c66d98797e8", "24a638ab0b7059b620678f2d50ecd40560383d6b9900564b68e3c8a238a7007a", "f7eb2bcecfb714fd15f22dc7f5921599b791c8b99acc76765dce6e436a619c8a"))	
7	stump_with_memoization,TestOp_80,("FingerMovements",false),(false,"interval2D"),5	(-14.29, 42.86, 47.62, 38.1, 43.48, 42.11, 45.45, 91, -Inf, -Inf, 287.644, 117b621a9fbe4af7ee171a752cb5c9f7117e914d8a9bebe7d178651d1c03f1c6)	(-14.29, 42.86, 50.0, 35.71, 43.75, 41.67, 46.67, 79, -Inf, -Inf, 289.083, 795900d65d982cd14c0dcb48ce4d0a259820249f081e84b32dcc86dfda71a889)	(-4.76, 47.62, 50.0, 45.24, 47.73, 47.5, 48.84, 39, -Inf, -Inf, 264.322, bdd0de90231f31d178b9fc8445e15ab50d9ab6d2c582da58b0de60c49cd80ce4)	(-14.29, 42.86, 50.0, 35.71, 43.75, 41.67, 46.67, 79, -Inf, -Inf, 285.45, 6a9f5b40699ee5e1c986f742e7694d1fd3e6fc870e31a43f13469b31f112d428)	(-16.67, 41.67, 50.0, 33.33, 42.86, 40.0, 46.15, 73, -Inf, -Inf, 286.329, 95449248ef00ee5ae9a189be671528f7deecd582325aa3edee9338d6b1969802)	(-4.76, 47.62, 50.0, 45.24, 47.73, 47.5, 48.84, 39, -Inf, -Inf, 264.818, bdd0de90231f31d178b9fc8445e15ab50d9ab6d2c582da58b0de60c49cd80ce4)	(8.57, 54.29, 62.86, 45.71, 53.66, 55.29, 57.81, 0.0, 329320.0)	(0.0024376417233560104, 0.0006094104308390027, 0.003571428571428573, 0.002664399092970523, 0.0003856124064172323, 0.0011938833092075304, 0.0010149547988907047, 0.0, 735.2)	(0.0, ("a05ba72f86ff5c0a63e1eea551f4b928903c5c807f808c6bb6a1a55074bc4040", "4d8f0e280657f0382a9eea56f7138f93c2b2738011b6c2332c5106b219d7feeb", "b0a5a8a51a34bab0cf246290d73bef085cb18b79964c709a5dee8bd0bd27d1c9", "a7a8926f1f645d01c74580c5269e6fcfd3fa36aed00286c5ee3f74783bb1e14e", "ef3441a7caa3b9976126d9b8ccf738b39e62e43dda615096f52e43fbae6613ef"))	(5.24, 52.62, 61.43, 43.81, 52.15, 53.36, 56.36, 46.17, 660040.0)	(0.004365079365079368, 0.001091269841269842, 0.004081632653061222, 0.001303854875283447, 0.0007346299104296644, 0.0018027384686434868, 0.001705830346139674, 0.0005529125995200019, 698.8)	(10102.709, ("6ce120be1c75d7a5442db0e11e1fa739dce91c94e9b1ae34af4753d8c18167fa", "7261e12a904b41e4b559c278e0a53d404c270c7d789e87c5c1d521e2a9b0f2f2", "2084509ce9b3df3be97fec914a1efac8c06c41a84a73359be2d85991ef269dcf", "ab35ca7e392415e2a2bc800d38b6e7c49252a16f383dd1d44884e539fe64ca84", "a37bc9528db28676cc8ef3ec492759ad7221edfa12cca99ec530b73f54e40127"))	
