Dataseed	use_training_form	test_operators	dataset_name	flatten_ontology	use_catch22	n_chunks	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.2)train_accuracy	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)n_nodes	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.2)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.2)train_accuracy	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)n_nodes	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.2)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	
8	stump_with_memoization	TestOp_80	RacketSports	(false,"interval")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[12]	[(30,)]	97.93	69.71	77.42	78.77	78.77	92.22	79.19	92.36	78.67	43	3.682	277a138cf8fba32fac2582be7d5585703fe46294a585b25c9c0df83dfedf20d1	90.04	69.69	77.42	78.2	78.2	92.26	79.39	92.75	77.41	27	0.978	fcbf788dd7caa3d0d243e13a84450442125ea235ea88a7dc0a87b23da4a273c5	92.53	65.48	74.19	75.42	75.42	91.24	74.49	91.54	74.25	39	1.481	bc5333fd7b3f4784724c2fcd945c25bcc5217adbf09fc953dac5902ba57d4c7b	88.38	65.44	74.19	75.25	75.25	91.22	76.0	91.78	73.79	25	0.936	5a3a834eddd35fe26bcf80feff90729c98d224da20d2cb4b435976622f988b7d	
9	stump_with_memoization	TestOp_80	RacketSports	(false,"interval")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[12]	[(30,)]	97.51	50.42	62.9	64.19	64.19	87.46	63.48	87.67	63.52	47	2.751	3dee82b067f7baf49220a6b6187f5d9ed70c7a73b21cea1321729ef1031ee487	89.21	41.75	56.45	57.84	57.84	85.26	56.55	85.6	56.76	27	1.294	daf31a8f08ae5969a8a08bd494dfdb5e3ffdcf2243fad46f9e8cb83192750789	92.53	50.49	62.9	64.19	64.19	87.51	63.91	87.78	63.32	41	1.498	b556b4c74c4d65d93ad7f9704c8a4a05d70df4fad2eadbeada06845dfca7f6f7	87.14	46.29	59.68	61.41	61.41	86.45	60.12	86.9	59.72	23	1.39	990d55de8bb8133016e8d95449388abfec4a1c23b6db6e3ed930b3116a6ed954	
1	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	99.1	21.43	60.71	60.71	71.43	50.0	58.82	63.64	64.52	75	133.572	4ea9d26e659ffdd300878a9e4654397258307cd32631d930a89c56a1ee3a3b8f	91.87	26.19	63.1	63.1	71.43	54.76	61.22	65.71	65.93	47	130.508	941435865f9316e81bba9dfdbf30ed60fa54169d805acf5308e82b2a5b7dc267	95.78	19.05	59.52	59.52	64.29	54.76	58.7	60.53	61.36	67	129.021	5fa337331abd4413f11e8970120c116952c58b43dc67bc7babc9b873d23171ee	92.17	23.81	61.9	61.9	69.05	54.76	60.42	63.89	64.44	49	130.984	70a37e28565c59663e5d15261055f49b376fe76cb1a39a3fc12cefaf5bd4c569	
2	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	98.19	-4.76	47.62	47.62	35.71	59.52	46.88	48.08	40.54	73	117.957	bc96f2546b4e074b7dac5d72bd5107a995530fb57eef52854e18ed803b8a670a	80.12	9.52	54.76	54.76	47.62	61.9	55.56	54.17	51.28	21	111.112	7e3927952d41016ea8f454dfa8243622ee1acc29f5ea7f85bf62790fa0dae5ea	96.08	-4.76	47.62	47.62	30.95	64.29	46.43	48.21	37.14	67	116.755	77c9ae484e02a2b7408ca44fac6ea941cb7da7b749cb744c247c784be114dd9b	80.12	9.52	54.76	54.76	47.62	61.9	55.56	54.17	51.28	21	110.942	7e3927952d41016ea8f454dfa8243622ee1acc29f5ea7f85bf62790fa0dae5ea	
3	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	98.49	14.29	57.14	57.14	64.29	50.0	56.25	58.33	60.0	67	116.504	79194265657682163d211cc4fba863dc08e2c456ae9fdf4f0f45417d18411279	87.05	4.76	52.38	52.38	57.14	47.62	52.17	52.63	54.55	35	114.206	35cf5c148f78751dcd8824e515cbab90912e4500b31b26e72fe4ee8c133e6f33	96.39	2.38	51.19	51.19	59.52	42.86	51.02	51.43	54.95	63	115.746	1cba122bab7ec539909d24ea601c8615e04e1a7f704c43051fcfb66fab1d7297	87.05	4.76	52.38	52.38	57.14	47.62	52.17	52.63	54.55	35	111.59	35cf5c148f78751dcd8824e515cbab90912e4500b31b26e72fe4ee8c133e6f33	
4	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	97.89	4.76	52.38	52.38	50.0	54.76	52.5	52.27	51.22	71	137.689	606c57aa907bba9085b7da6fa3915e3be75074be9b30d579de47da4e45cb0b8f	85.54	16.67	58.33	58.33	64.29	52.38	57.45	59.46	60.67	31	136.452	eaca068ce851ce84f4149202c53b69fd3dfdf45e3d97f4cbfd295e8c4b8925d0	95.78	7.14	53.57	53.57	52.38	54.76	53.66	53.49	53.01	63	136.911	16f21fb4032c9ff4b3f92fc1ce7ba66c34a200b5fc9e8ef0ba36f47cf828ae97	85.54	16.67	58.33	58.33	64.29	52.38	57.45	59.46	60.67	31	134.606	eaca068ce851ce84f4149202c53b69fd3dfdf45e3d97f4cbfd295e8c4b8925d0	
5	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	97.59	-14.29	42.86	42.86	40.48	45.24	42.5	43.18	41.46	77	79.23	a32aa81656e1189ddd81d2f343befc01af3e34f8c4f775e8e205a46bdb0b8037	89.76	-9.52	45.24	45.24	42.86	47.62	45.0	45.45	43.9	41	75.063	7cdf927a0edb2d861492e75949dce5453bb4677c29ff3488b65170d45c7da2c2	96.69	-16.67	41.67	41.67	40.48	42.86	41.46	41.86	40.96	65	79.105	9b27878d830efcd926a914252c46da874c6e98c3666baf78e2183bfdd2db3047	89.76	-9.52	45.24	45.24	42.86	47.62	45.0	45.45	43.9	41	74.925	7cdf927a0edb2d861492e75949dce5453bb4677c29ff3488b65170d45c7da2c2	
6	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	97.29	4.76	52.38	52.38	52.38	52.38	52.38	52.38	52.38	79	93.336	5c8af433bef0aaf61b47ee4ea5515502ea7bea43db3f6d7bc71bcd538aebc56f	81.93	-4.76	47.62	47.62	50.0	45.24	47.73	47.5	48.84	27	89.432	0061cc6ad6cf6d78e6abd0c6a17c5043724ab70b324725cf108920748642c911	93.67	4.76	52.38	52.38	52.38	52.38	52.38	52.38	52.38	69	88.307	df3a1737435577b057edef8acd09499407d1814fb9a7abee629e55492936b004	81.93	-4.76	47.62	47.62	50.0	45.24	47.73	47.5	48.84	27	86.956	0061cc6ad6cf6d78e6abd0c6a17c5043724ab70b324725cf108920748642c911	
7	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	98.8	19.05	59.52	59.52	57.14	61.9	60.0	59.09	58.54	71	91.928	486b3a77f8f3348602addd490dce4167c331d56472d34fbf7bcb0f169baa01bd	81.93	19.05	59.52	59.52	54.76	64.29	60.53	58.7	57.5	23	89.004	a97124b5e5d7feace847b4d67dcf308955295399d4c5a5e6777ddddc4307d7df	96.08	16.67	58.33	58.33	47.62	69.05	60.61	56.86	53.33	65	93.414	2de82a1f146288a1e35abfdf3b6f529b8eb3350272dce79ab2fa6237d24bc5be	81.93	19.05	59.52	59.52	54.76	64.29	60.53	58.7	57.5	23	89.51	a97124b5e5d7feace847b4d67dcf308955295399d4c5a5e6777ddddc4307d7df	
8	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	97.59	-2.38	48.81	48.81	47.62	50.0	48.78	48.84	48.19	73	66.493	9d7c4e1f8203aa859d86048ff2dfab17948e5ad3bf09e6e353281af8f746f3c1	86.14	4.76	52.38	52.38	50.0	54.76	52.5	52.27	51.22	35	65.268	a41fc445276d830b134b6bfae7b844983deda50fde85e8ce5b0a7b54965ea656	95.18	0.0	50.0	50.0	45.24	54.76	50.0	50.0	47.5	69	66.413	cf63abb8eaa7bbfc1e26bbacd3e652656f3b2bea9c79213cd41aee77b417f7fb	86.14	4.76	52.38	52.38	50.0	54.76	52.5	52.27	51.22	35	65.09	a41fc445276d830b134b6bfae7b844983deda50fde85e8ce5b0a7b54965ea656	
9	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	98.49	-9.52	45.24	45.24	47.62	42.86	45.45	45.0	46.51	73	113.318	c0d1640399f9cbe810cc17c36ff88fbf9c6f77d0c5ac103def6c6b458ec15b5e	81.33	-4.76	47.62	47.62	54.76	40.48	47.92	47.22	51.11	25	110.348	cc360d1df88590b4a3cd6b6135f0308df4cbd493a1dd8a1584e9f33bcbd41fa2	96.69	-11.9	44.05	44.05	45.24	42.86	44.19	43.9	44.71	63	117.247	cdff00f4d4aef80938a2b6334e97dbb675aa80bd8848b540971e77e8dad1ea5a	81.33	-4.76	47.62	47.62	54.76	40.48	47.92	47.22	51.11	25	116.646	cc360d1df88590b4a3cd6b6135f0308df4cbd493a1dd8a1584e9f33bcbd41fa2	
1	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[120]	[()]	93.68	62.86	65.33	65.33	65.33	97.52	70.3	97.55	64.73	111	2.408	53436cf41a8a52ddae1d8e6ae8cea4159094d1408cafe2b8b0d96d1fb2335b5a	88.42	61.43	64.0	64.0	64.0	97.43	70.31	97.48	62.81	75	2.535	202f2d636ea2de833e3fb475e2bb59ce1d5ce4764509326926da979f348f537f	89.12	60.0	62.67	62.67	62.67	97.33	69.28	97.35	63.19	85	2.411	2c558dc5885d5951d511c8fdfcd67fb092a9a18de9471ac2c83557347765ece9	87.02	54.29	57.33	57.33	57.33	96.95	66.3	96.99	57.24	69	2.61	2575ae8c32b557989be63046da8b1424baeb603787f383c3d0b724a5df3ee277	
2	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[120]	[()]	92.98	57.14	60.0	60.0	60.0	97.14	64.74	97.17	59.34	109	2.37	35c7221d2a757289ae2e49cada7866494cd36dc700ddac33cd0d49a27b871235	90.18	55.71	58.67	58.67	58.67	97.05	64.24	97.07	58.44	75	2.133	14566dbe73a58105e3ffff66ad4b055ec5d6c3bc0326dd7312e7bde1109f074a	88.42	58.57	61.33	61.33	61.33	97.24	64.19	97.25	61.3	85	2.393	7c674a053534f2cba53f57164dbcfd2fc33c2270093c889503f4ed4fce632e48	88.42	57.14	60.0	60.0	60.0	97.14	62.41	97.16	60.02	69	2.337	847d0e4cf08447c48746fc941ea21f7c4dda74b44d5dd7b0c539520aaff0d7a1	
3	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[120]	[()]	95.44	55.71	58.67	58.67	58.67	97.05	NaN	97.09	56.54	101	2.414	5d047fbd1942343e968895c83824f200d5eafcbd334be750e26bb2cbd7362028	90.88	54.29	57.33	57.33	57.33	96.95	NaN	96.97	56.02	75	2.592	7afd3b1716e8ae92d962946bb46a2cd876873f93dbf6b8705b49ac269a7dbccf	87.72	50.0	53.33	53.33	53.33	96.67	57.07	96.68	53.21	81	2.711	9c1090da403500ccc55c5435ea93a24cd1061b361f3c5d8dd85a5be125693f2b	86.32	50.0	53.33	53.33	53.33	96.67	54.36	96.69	52.14	65	2.364	2a8ed0f96f4ee832af9eaad66f42cd1ba768fe93c17ea813b5d8d704e5aeee99	
4	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[120]	[()]	94.39	58.57	61.33	61.33	61.33	97.24	66.69	97.26	61.28	109	2.505	834c2895dafc01741eb43fe9b7424771185ce463a497574ce0533f23a20d704c	89.47	55.71	58.67	58.67	58.67	97.05	66.14	97.07	58.79	81	2.452	29aa58beeb70fdf590a65b1176e66af9f355e97fde04b8a5a0f047f5a49dfa93	89.47	55.71	58.67	58.67	58.67	97.05	67.34	97.06	59.81	87	2.33	c7b6e424215e5a9e186fe6653720438ba5f2085051dac64e689d503c7750fbfc	85.96	55.71	58.67	58.67	58.67	97.05	66.23	97.06	59.38	67	2.497	d1ae7e51e80ce5d3329bd6f661b3972ba99649062ad4196f5568d7a97ac7f538	
5	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[120]	[()]	93.68	60.0	62.67	62.67	62.67	97.33	65.67	97.37	61.99	119	2.45	bf19f4e5962bef8f85f8a889e4d3757b26246e2444395e4e0e06ff772b507e3f	91.23	61.43	64.0	64.0	64.0	97.43	66.4	97.46	63.05	87	2.436	87056f98878391165aaeb96c039e8d975ead887e2091bc8c084529c2a22a57b0	86.32	60.0	62.67	62.67	62.67	97.33	65.48	97.37	61.27	89	2.279	ce0a20d0846a1455fd7efe7e6e915caa35cb7493f6068861fb54da75ae7420db	85.61	60.0	62.67	62.67	62.67	97.33	65.48	97.37	61.27	75	2.484	e79a2ce1ed817fb090a940b7db9cc71c5dfa759b0176bfd6f78cd9f616d37da2	
6	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[120]	[()]	93.68	62.86	65.33	65.33	65.33	97.52	66.75	97.56	64.31	109	2.109	5f57e36e1f71ba73e3ff821a253419930a778d19f8b4ae1f38906715010ce553	89.82	62.86	65.33	65.33	65.33	97.52	69.7	97.57	64.55	79	2.099	bc5fdbd52b1b6bf52edcd53af261f6db9239286ac1b3881b45596edc0d03efce	87.37	61.43	64.0	64.0	64.0	97.43	68.64	97.49	61.91	83	1.931	03bf791895369ba4656f19887315c4192efa71cb6583e0742d872fe07e80ccf3	84.56	58.57	61.33	61.33	61.33	97.24	66.03	97.29	59.76	65	2.102	3012235b53af000a38937c98ed3eee563ce7e2221ac5359d5671a069392a4cba	
7	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[120]	[()]	94.39	52.86	56.0	56.0	56.0	96.86	59.85	96.92	54.07	111	2.306	a5e10a93e1878d7098020179f6a8607c3c7792dbf749fea98766ad8c7f38e6b0	90.18	48.57	52.0	52.0	52.0	96.57	53.3	96.61	50.19	83	2.311	38863ef025f6168105f0a3f3b5a068ab8fded7357e2f3677b546fc8deee84b74	87.02	47.14	50.67	50.67	50.67	96.48	50.89	96.51	49.1	89	2.143	6b2031fe968f4d7b96c0ba58838e62c61f2ad564682c4df45d4a1f9ebe34283a	86.32	47.14	50.67	50.67	50.67	96.48	50.89	96.51	49.1	73	2.313	edc6fa2561c7303acc518bc082a3b9857b28c72dc479988cc6c97c191604d318	
8	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[120]	[()]	92.63	60.0	62.67	62.67	62.67	97.33	71.38	97.36	62.02	115	2.581	abdeae3c6af47fd7934ebe2f225de1a41a28d5613dfbd4995c071a80601cf90c	90.53	62.86	65.33	65.33	65.33	97.52	70.71	97.54	64.86	83	2.538	afadcffef9f1a58f64e951e6799ab90b6e2576cf20f4248222f6bfa1decae884	86.67	61.43	64.0	64.0	64.0	97.43	NaN	97.46	61.96	87	2.421	0f0dc75b68ba9b90c5a785668691e5f6a0b2a7d3ebfdffdfd315cd0f13e93f4d	86.67	62.86	65.33	65.33	65.33	97.52	NaN	97.56	62.73	75	2.58	8c03c01011f29788e27aa7053425388a0f2c64b69c64672b5e67896d76f4e1bf	
9	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[120]	[()]	91.93	52.86	56.0	56.0	56.0	96.86	62.7	96.88	56.38	107	2.073	27e364dd6d5625f679e6a025120da240f692b6f749bd39504cf0ee9901200cc3	90.53	57.14	60.0	60.0	60.0	97.14	66.8	97.16	60.71	73	2.08	3a01c2bf63d4d54bec0ef6c80dcfa8a5535734b5f8069611a1d6545911c8b128	88.07	50.0	53.33	53.33	53.33	96.67	60.51	96.69	53.06	89	1.898	4956e59d9279257aa474e8344c2b6abd484f78877500369c5790039cc5ab1d7b	87.02	51.43	54.67	54.67	54.67	96.76	61.39	96.78	55.13	63	2.065	66fe59f754b8499dd16c71b450235ded46b9ff6f8e38d441408a70ef94b8b569	
1	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	false	30	3934	991	(197, 432, 610, 100, 11, 55, 244, 37, 500, 108, 192, 1243, 123, 82)	(50, 108, 153, 25, 3, 14, 62, 10, 126, 28, 49, 311, 31, 21)	[360]	[()]	93.37	23.39	35.92	25.48	25.48	94.53	28.58	94.52	26.61	1565	2902.046	ac898f9075e4bcd011f101bfb3314773cf711574396952cf4edcf2d276058f38	88.08	23.77	37.13	25.65	25.65	94.53	27.59	94.58	26.36	1125	2912.134	dc714b1a60dc5057d1e9be4eb0da9a38646e678e1330389a27adebb98110afcf	83.99	22.81	35.72	24.64	24.64	94.48	25.87	94.49	25.12	1145	2867.97	f07d46f97feeb313fe8b17ae34ca172b1fed728da76a0be5c6de00b754bba8d6	81.72	24.51	37.84	25.43	25.43	94.59	26.34	94.64	25.7	893	2919.587	3b31b8921090f96622191f9022be2f89489cb95ab3703e154de851ab276380de	
2	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	false	30	3934	991	(197, 432, 610, 100, 11, 55, 244, 37, 500, 108, 192, 1243, 123, 82)	(50, 108, 153, 25, 3, 14, 62, 10, 126, 28, 49, 311, 31, 21)	[360]	[()]	92.53	23.96	36.13	23.19	23.19	94.6	24.33	94.59	23.64	1547	2967.139	92ae51608f2d23d13dfae0c111b21b642040694784e60f6a46cd3a5035f69e76	88.26	24.43	37.03	23.7	23.7	94.62	NaN	94.63	23.76	1111	2952.129	17906756fe103b5fadcb85df8bb5398adb19c40734d4a0321075cdf1a8de4764	83.93	24.38	36.63	26.15	26.15	94.61	27.57	94.6	26.71	1113	2941.864	11bd5a73fe498b52f12bbe5f5f94f5484b1628834b9eb38b0d33cadedf485b57	82.31	24.3	36.83	26.03	26.03	94.6	27.22	94.61	26.48	883	2961.002	c8880ed3caf80ed727a34c4198939e3880ad0f6660a657fb621a118091b61c02	
3	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	false	30	3934	991	(197, 432, 610, 100, 11, 55, 244, 37, 500, 108, 192, 1243, 123, 82)	(50, 108, 153, 25, 3, 14, 62, 10, 126, 28, 49, 311, 31, 21)	[360]	[()]	92.55	24.93	37.03	26.6	26.6	94.65	28.12	94.65	27.04	1519	3079.999	10ab8e31fa5d57c1c478b9a4c8d99a84de1879b7eebb13434b87ca7bbd76d5ec	87.29	27.4	39.96	27.36	27.36	94.81	28.36	94.85	27.61	1069	3069.805	1c74455d5d7147203a364ce61afcc35201525bd83c1cdc7a8562a00121598282	84.11	24.73	36.83	26.48	26.48	94.62	28.3	94.62	26.8	1101	3160.612	15068d723826dcb01ccc7bb2f3e2963ee4bfed07ddc4e3b1460b3e2f16fffea7	81.7	27.31	39.66	27.3	27.3	94.79	28.33	94.82	27.37	853	3081.216	ac301f3c2b64905fea8105c262439181b8478df6401a175de70d1b863af14e55	
