class_names,EEG_B2-TR,EEG_B2-FM,EEG_B2-FMAI,EEG_B2-LP,EEG_B2-C,EEG_B3-TR,EEG_B3-FM,EEG_B3-FMAI,EEG_B3-LP,EEG_B3-C,EEG_B4-TR,EEG_B4-FM,EEG_B4-FMAI,EEG_B4-LP,EEG_B4-C,EEG_B1-TR,EEG_B1-FM,EEG_B1-FMAI,EEG_B1-LP,EEG_B1-C,EEG_B5-TR,EEG_B5-FM,EEG_B5-FMAI,EEG_B5-LP,EEG_B5-C,EEG_B6-TR,EEG_B6-FM,EEG_B6-FMAI,EEG_B6-LP,EEG_B6-C,EEG_B7-TR,EEG_B7-FM,EEG_B7-FMAI,EEG_B7-LP,EEG_B7-C,EEG_B8-TR,EEG_B8-FM,EEG_B8-FMAI,EEG_B8-LP,EEG_B8-C,EEG_B9-TR,EEG_B9-FM,EEG_B9-FMAI,EEG_B9-LP,EEG_B9-C,EEG_B24-TR,EEG_B24-FM,EEG_B24-FMAI,EEG_B24-LP,EEG_B24-C
0.0,"[-2.5406, 0.1384, -1.2249]","[5.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.4742, 0.1252, -1.2888]","[5.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.2882, 0.0864, -1.4582]","[5.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.5563, 0.1419, -1.2077]","[1.0, 1.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-1.9721, -0.1074, -1.9289]","[5.0, 1.0, 1.0]","[3.0, 1.0, 3.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-1.8914, -0.1672, -2.0008]","[5.0, 1.0, 1.0]","[3.0, 1.0, 3.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.0461, 0.0598, -1.0831]","[5.0, 1.0, 1.0]","[1.0, 3.0, 3.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.2061, 0.0248, -1.0427]","[5.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.3479, -0.1587, -1.2656]","[5.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.505, 0.953, -1.9876]","[5.0, 1.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 2.0]"
1.0,[-0.8569],[3.0],[1.0],[3.0],[2.0],[-1.1491],[3.0],[1.0],[3.0],[2.0],[-1.685],[3.0],[3.0],[3.0],[2.0],[-0.7889],[3.0],[1.0],[3.0],[2.0],[-2.0152],[3.0],[3.0],[2.0],[2.0],[-1.8726],[3.0],[3.0],[2.0],[2.0],[-1.0977],[5.0],[3.0],[2.0],[2.0],[-0.8919],[5.0],[1.0],[2.0],[2.0],[-0.8589],[3.0],[3.0],[2.0],[2.0],[0.6349],[3.0],[3.0],[3.0],[3.0]
2.0,"[-2.3644, -0.7092, -1.8602]","[5.0, 3.0, 1.0]","[1.0, 1.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 2.0]","[-2.4964, -0.7043, -1.8659]","[5.0, 3.0, 1.0]","[1.0, 1.0, 3.0]","[3.0, 3.0, 2.0]","[1.0, 2.0, 2.0]","[-2.7056, -0.6909, -1.8873]","[5.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 2.0]","[-2.3197, -0.7107, -1.8589]","[5.0, 3.0, 1.0]","[1.0, 1.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 2.0]","[-2.9652, -0.6502, -1.9976]","[1.0, 3.0, 1.0]","[3.0, 1.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 2.0]","[-3.2727, -0.6461, -2.0468]","[1.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 2.0]","[-3.7253, -0.7363, -1.7706]","[1.0, 2.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 2.0]","[-4.1107, -0.7231, -1.7277]","[1.0, 3.0, 1.0]","[1.0, 3.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 2.0]","[-4.1335, -0.6369, -1.7022]","[1.0, 3.0, 1.0]","[1.0, 3.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 2.0]","[1.9488, -0.7921, -2.7731]","[3.0, 2.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 3.0, 1.0]","[1.0, 2.0, 2.0]"
3.0,"[2.8498, -1.8484]","[3.0, 3.0]","[3.0, 3.0]","[1.0, 3.0]","[1.0, 2.0]","[2.7569, -1.8098]","[3.0, 3.0]","[3.0, 3.0]","[1.0, 3.0]","[1.0, 2.0]","[2.3556, -1.7]","[3.0, 3.0]","[3.0, 3.0]","[1.0, 3.0]","[1.0, 2.0]","[2.8711, -1.8587]","[3.0, 3.0]","[3.0, 3.0]","[1.0, 3.0]","[1.0, 2.0]","[-0.4216, -1.2591]","[3.0, 3.0]","[3.0, 3.0]","[1.0, 3.0]","[1.0, 2.0]","[-0.1243, -0.5511]","[2.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[1.0, 2.0]","[1.107, -1.3164]","[2.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 2.0]","[0.6898, -1.2359]","[2.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 2.0]","[-0.4852, -0.4221]","[1.0, 2.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 2.0]","[2.1914, 2.8418]","[1.0, 2.0]","[3.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]"
4.0,"[-0.621, 0.026]","[1.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[-0.634, 0.0305]","[1.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[-0.6802, 0.0417]","[1.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[-0.6181, 0.0248]","[1.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[-0.8817, 0.0792]","[1.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[-1.274, 0.0958]","[1.0, 1.0]","[1.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[-0.9363, 0.0466]","[1.0, 1.0]","[1.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[-0.8617, 0.0627]","[1.0, 1.0]","[1.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[-1.1769, 0.119]","[1.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[-1.9412, -0.1039]","[1.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[2.0, 1.0]"
5.0,"[-1.6626, -0.7047, -1.2076]","[3.0, 3.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 1.0]","[-1.813, -0.702, -1.1619]","[2.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 1.0]","[-1.9796, -0.6837, -1.0669]","[2.0, 3.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 1.0]","[-1.6077, -0.7048, -1.2215]","[3.0, 3.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 3.0, 2.0]","[1.0, 2.0, 1.0]","[-1.9665, -0.6494, -0.8541]","[2.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 3.0, 1.0]","[1.0, 2.0, 1.0]","[-1.7293, -3.4208, -0.0168]","[5.0, 2.0, 2.0]","[1.0, 3.0, 3.0]","[2.0, 2.0, 1.0]","[1.0, 2.0, 1.0]","[-1.7054, -3.22, -0.1386]","[5.0, 1.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 1.0]","[1.0, 2.0, 1.0]","[-2.0237, -2.1676, -0.1622]","[5.0, 1.0, 2.0]","[1.0, 3.0, 3.0]","[2.0, 2.0, 1.0]","[1.0, 2.0, 1.0]","[-2.2207, -1.5743, 0.0017]","[5.0, 1.0, 2.0]","[1.0, 3.0, 3.0]","[2.0, 2.0, 1.0]","[1.0, 2.0, 1.0]","[-2.0817, -0.3609, -2.0758]","[3.0, 1.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 1.0]","[1.0, 2.0, 1.0]"
6.0,"[-0.8711, -1.6992]","[5.0, 3.0]","[1.0, 1.0]","[2.0, 3.0]","[2.0, 1.0]","[-0.8718, -1.6814]","[5.0, 3.0]","[1.0, 1.0]","[2.0, 3.0]","[2.0, 1.0]","[-0.8994, -1.8009]","[5.0, 3.0]","[1.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[-0.872, -1.7148]","[5.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[-1.2249, -2.321]","[5.0, 3.0]","[1.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[-3.1673, -3.0708]","[1.0, 2.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 1.0]","[-3.6055, -3.4485]","[1.0, 2.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[-3.6832, -3.467]","[1.0, 2.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[-3.9231, -3.6538]","[1.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[2.0, 1.0]","[-2.5768, 2.2477]","[5.0, 2.0]","[1.0, 3.0]","[3.0, 2.0]","[1.0, 3.0]"
7.0,"[-3.0157, -0.9715]","[5.0, 2.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.0385, -0.9607]","[5.0, 2.0]","[1.0, 1.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.0693, -0.8882]","[1.0, 3.0]","[1.0, 1.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.0074, -0.9723]","[5.0, 2.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.1004, -0.6815]","[1.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[1.0, 2.0]","[-3.1492, -1.2023]","[1.0, 3.0]","[1.0, 3.0]","[2.0, 3.0]","[1.0, 2.0]","[-3.2705, -1.5295]","[1.0, 3.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.4034, -1.3304]","[1.0, 3.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.4089, -1.3457]","[2.0, 3.0]","[3.0, 3.0]","[1.0, 3.0]","[1.0, 1.0]","[0.6272, -3.0908]","[5.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[2.0, 2.0]"
8.0,"[-2.0489, -1.8665, -2.0984, -3.3542, -1.5426]","[2.0, 2.0, 5.0, 1.0, 2.0]","[1.0, 1.0, 1.0, 1.0, 3.0]","[2.0, 2.0, 3.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0, 3.0]","[-1.7814, -2.2274, -2.2472, -3.2978, -1.1364]","[5.0, 2.0, 5.0, 3.0, 3.0]","[1.0, 3.0, 3.0, 3.0, 3.0]","[3.0, 2.0, 3.0, 1.0, 2.0]","[1.0, 1.0, 1.0, 1.0, 3.0]","[-1.2765, -3.0125, -2.4404, -2.864, -0.4172]","[3.0, 1.0, 5.0, 2.0, 3.0]","[1.0, 3.0, 1.0, 3.0, 1.0]","[3.0, 1.0, 3.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 1.0, 3.0]","[-2.1337, -1.7752, -2.0434, -3.3273, -1.6257]","[2.0, 2.0, 5.0, 1.0, 2.0]","[1.0, 1.0, 1.0, 3.0, 3.0]","[2.0, 2.0, 3.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0, 3.0]","[0.1394, -3.6841, -2.5916, -2.3105, -1.3252]","[3.0, 1.0, 5.0, 2.0, 3.0]","[3.0, 3.0, 1.0, 3.0, 3.0]","[3.0, 1.0, 3.0, 2.0, 3.0]","[2.0, 1.0, 1.0, 1.0, 2.0]","[-1.5189, -3.5076, -2.567, -2.0591, -1.9983]","[3.0, 2.0, 5.0, 3.0, 3.0]","[3.0, 3.0, 1.0, 3.0, 3.0]","[3.0, 1.0, 3.0, 3.0, 2.0]","[1.0, 1.0, 1.0, 1.0, 2.0]","[-2.5201, -2.983, -2.2574, -2.0693, -1.8737]","[1.0, 2.0, 5.0, 3.0, 3.0]","[1.0, 3.0, 1.0, 1.0, 3.0]","[1.0, 2.0, 3.0, 3.0, 2.0]","[1.0, 1.0, 1.0, 1.0, 2.0]","[-1.2462, -2.7627, -1.9647, -2.5042, -2.0202]","[5.0, 2.0, 5.0, 5.0, 3.0]","[3.0, 3.0, 1.0, 3.0, 3.0]","[3.0, 2.0, 3.0, 2.0, 2.0]","[3.0, 1.0, 1.0, 1.0, 2.0]","[-0.4297, -3.6281, -2.0491, -3.3701, -2.4536]","[3.0, 2.0, 5.0, 1.0, 1.0]","[1.0, 3.0, 1.0, 1.0, 3.0]","[3.0, 1.0, 2.0, 1.0, 2.0]","[3.0, 1.0, 1.0, 1.0, 2.0]","[-0.8467, -1.6692, -2.0204, 5.1696, -1.0454]","[2.0, 2.0, 3.0, 1.0, 5.0]","[3.0, 3.0, 3.0, 3.0, 3.0]","[2.0, 2.0, 3.0, 3.0, 2.0]","[2.0, 1.0, 1.0, 3.0, 2.0]"
9.0,[-2.8095],[5.0],[3.0],[2.0],[1.0],[-2.7772],[5.0],[3.0],[2.0],[1.0],[-2.7053],[5.0],[3.0],[2.0],[1.0],[-2.8185],[5.0],[1.0],[2.0],[1.0],[-2.5869],[5.0],[1.0],[3.0],[1.0],[-2.3551],[3.0],[3.0],[3.0],[1.0],[-2.0921],[3.0],[3.0],[3.0],[1.0],[-1.8341],[3.0],[3.0],[3.0],[1.0],[-1.5176],[3.0],[3.0],[3.0],[1.0],[-1.5211],[2.0],[3.0],[2.0],[1.0]
10.0,"[-2.4545, -0.7037]","[5.0, 3.0]","[3.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[-2.3182, -0.7157]","[5.0, 3.0]","[3.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[-2.0517, -0.7305]","[5.0, 3.0]","[3.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[-2.4967, -0.6996]","[5.0, 3.0]","[3.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[-1.5717, -0.71]","[3.0, 3.0]","[3.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[-1.0286, -0.662]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 2.0]","[-1.1118, -0.7819]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[-1.6629, -0.7105]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[-2.3889, -0.7181]","[2.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[-3.9686, -2.7224]","[1.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[3.0, 1.0]"
11.0,"[-0.452, -2.1914, -3.0884]","[3.0, 5.0, 1.0]","[1.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 1.0]","[-0.4649, -1.6666, -3.3116]","[3.0, 3.0, 1.0]","[1.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 1.0]","[-0.4752, -0.7121, -3.6121]","[3.0, 3.0, 1.0]","[3.0, 3.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 1.0]","[-0.4481, -2.32, -3.0129]","[3.0, 5.0, 1.0]","[3.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 1.0]","[-0.3388, -0.841, -3.46]","[3.0, 2.0, 1.0]","[1.0, 3.0, 3.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 2.0]","[-2.1947, -0.8586, -2.2777]","[2.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[3.0, 2.0, 1.0]","[2.0, 2.0, 1.0]","[-3.95, -1.5667, -2.0634]","[2.0, 3.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 3.0, 1.0]","[2.0, 1.0, 1.0]","[-4.0342, -2.1942, -2.6516]","[2.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 3.0, 1.0]","[2.0, 1.0, 1.0]","[-1.2306, -1.9566, -2.8331]","[2.0, 1.0, 2.0]","[3.0, 1.0, 3.0]","[2.0, 2.0, 1.0]","[2.0, 1.0, 2.0]","[-2.0328, 0.7156, -2.1523]","[2.0, 5.0, 2.0]","[3.0, 1.0, 3.0]","[2.0, 2.0, 1.0]","[1.0, 1.0, 2.0]"
12.0,"[1.8065, -1.8872, -1.6692]","[1.0, 5.0, 2.0]","[1.0, 1.0, 3.0]","[3.0, 2.0, 2.0]","[2.0, 1.0, 1.0]","[-1.1532, -1.6876, -1.6027]","[2.0, 5.0, 2.0]","[3.0, 3.0, 1.0]","[3.0, 2.0, 2.0]","[2.0, 1.0, 1.0]","[-2.3368, -1.2382, -1.4338]","[2.0, 2.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 1.0]","[2.5145, -1.9409, -1.6872]","[1.0, 5.0, 2.0]","[1.0, 1.0, 1.0]","[3.0, 2.0, 2.0]","[2.0, 1.0, 1.0]","[-2.3397, -1.3247, -1.0643]","[2.0, 2.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[-3.4654, -2.2511, -0.8575]","[2.0, 2.0, 3.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[-3.7258, -1.2839, -1.4954]","[2.0, 2.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 1.0]","[-3.4454, -1.1121, -2.3565]","[2.0, 2.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 1.0]","[-3.323, -1.3029, -3.369]","[2.0, 2.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 1.0]","[-3.3711, -1.398, -3.2634]","[3.0, 2.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 1.0]","[2.0, 1.0, 1.0]"
13.0,"[2.2543, -1.8607]","[1.0, 3.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 2.0]","[2.1727, -1.7177]","[1.0, 3.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 2.0]","[0.802, -1.4419]","[3.0, 3.0]","[3.0, 3.0]","[1.0, 2.0]","[2.0, 2.0]","[2.2293, -1.9012]","[1.0, 3.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 2.0]","[1.3977, -1.3487]","[3.0, 3.0]","[1.0, 1.0]","[1.0, 2.0]","[1.0, 2.0]","[1.6536, -3.029]","[3.0, 3.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[1.0592, -2.3273]","[5.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[1.0, 2.0]","[0.9094, -1.0011]","[5.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[0.8765, -0.0093]","[5.0, 1.0]","[1.0, 3.0]","[2.0, 3.0]","[1.0, 2.0]","[0.3094, -1.7566]","[2.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[1.0, 2.0]"
14.0,"[-2.0823, -2.1417]","[5.0, 1.0]","[3.0, 3.0]","[3.0, 2.0]","[1.0, 2.0]","[-2.025, -2.0342]","[3.0, 1.0]","[3.0, 3.0]","[3.0, 2.0]","[1.0, 2.0]","[-1.9176, -2.5154]","[3.0, 1.0]","[1.0, 1.0]","[3.0, 2.0]","[1.0, 2.0]","[-2.1014, -2.147]","[5.0, 1.0]","[3.0, 3.0]","[3.0, 2.0]","[1.0, 2.0]","[-1.6458, 3.3955]","[3.0, 2.0]","[1.0, 3.0]","[3.0, 3.0]","[1.0, 3.0]","[-1.1116, 3.0474]","[3.0, 1.0]","[1.0, 3.0]","[3.0, 3.0]","[2.0, 2.0]","[-0.7367, 2.78]","[3.0, 1.0]","[3.0, 1.0]","[3.0, 3.0]","[2.0, 3.0]","[-0.6311, 2.6047]","[3.0, 2.0]","[3.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[-0.8014, 1.6415]","[3.0, 2.0]","[1.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[1.8249, -0.8945]","[1.0, 2.0]","[1.0, 3.0]","[2.0, 3.0]","[2.0, 2.0]"
15.0,"[-1.1697, 1.549]","[3.0, 2.0]","[3.0, 3.0]","[3.0, 1.0]","[2.0, 1.0]","[-1.1349, 1.5239]","[3.0, 2.0]","[3.0, 3.0]","[3.0, 1.0]","[2.0, 1.0]","[-1.048, 1.3932]","[3.0, 2.0]","[1.0, 3.0]","[3.0, 1.0]","[2.0, 1.0]","[-1.1789, 1.5535]","[3.0, 2.0]","[3.0, 3.0]","[3.0, 1.0]","[2.0, 1.0]","[-0.9137, 0.7518]","[3.0, 2.0]","[1.0, 3.0]","[3.0, 1.0]","[2.0, 1.0]","[-1.088, -0.7697]","[2.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[2.0, 1.0]","[-1.5321, -1.3493]","[2.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-1.8873, -1.9255]","[2.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-2.1718, -2.214]","[2.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-2.8519, -2.4376]","[5.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]"
16.0,"[-2.5292, -1.958, -2.8696]","[5.0, 5.0, 1.0]","[3.0, 1.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 1.0, 1.0]","[-2.4565, -1.9005, -2.8466]","[5.0, 5.0, 1.0]","[3.0, 3.0, 3.0]","[3.0, 3.0, 2.0]","[1.0, 1.0, 1.0]","[-2.1647, -1.7404, -2.7648]","[5.0, 5.0, 1.0]","[3.0, 3.0, 3.0]","[3.0, 3.0, 2.0]","[1.0, 1.0, 1.0]","[-2.5371, -1.9728, -2.8756]","[3.0, 5.0, 1.0]","[3.0, 1.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 1.0, 1.0]","[-1.5414, -1.3721, -2.3608]","[5.0, 5.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-1.1546, -1.642, -4.0277]","[5.0, 5.0, 1.0]","[1.0, 1.0, 1.0]","[3.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[-2.3343, -2.2853, -3.621]","[1.0, 5.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-3.6139, -2.5365, -2.3562]","[1.0, 5.0, 1.0]","[1.0, 1.0, 3.0]","[1.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[-3.6066, -2.684, -1.846]","[1.0, 5.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[2.3186, -2.6714, 2.9626]","[1.0, 5.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 1.0, 2.0]"
