		T(entropy,2,0.01,0.2)	T(entropy,2,0.01,0.6)	RF(10,half,all)	RF(10,half,all)σ²	RF(10,half,all)t	
1	TestOp_80,1,1,2,false,stump,Any[],1,(10,45,30)	(28.57, 67.86, 60.71, 63.33, 64.29, 00:00:17)	(14.29, 57.14, 57.14, 57.14, 57.14, 00:00:00)	(29.29, 53.57, 75.71, 69.07, 64.64, 36.97)	(0.01556122448979592, 0.006377551020408166, 0.007270408163265307, 0.0058485129715846115, 0.0038903061224489803, 0.0024801877650085444)	(00:00:27)	
2	TestOp_80,1,1,2,false,stump,Any[],1,(10,45,30)	(0.0, 71.43, 28.57, 50.0, 50.0, 00:00:01)	(3.57, 71.43, 32.14, 51.28, 51.79, 00:00:01)	(20.0, 62.14, 57.86, 59.48, 60.0, 38.23)	(0.0035714285714285674, 0.004209183673469391, 0.00025510204081632634, 0.0005568730560444437, 0.0008928571428571419, 0.00010559009072019585)	(00:00:19)	
3	TestOp_80,1,1,2,false,stump,Any[],1,(10,45,30)	(10.71, 57.14, 53.57, 55.17, 55.36, 00:00:01)	(7.14, 53.57, 53.57, 53.57, 53.57, 00:00:01)	(23.57, 50.0, 73.57, 65.69, 61.79, 35.89)	(0.021428571428571408, 0.005102040816326528, 0.007397959183673463, 0.010370371636934723, 0.005357142857142852, 0.0015340456437216044)	(00:00:17)	
4	TestOp_80,1,1,2,false,stump,Any[],1,(10,45,30)	(28.57, 53.57, 75.0, 68.18, 64.29, 00:00:01)	(39.29, 60.71, 78.57, 73.91, 69.64, 00:00:00)	(40.0, 62.14, 77.86, 74.13, 70.0, 37.5)	(0.007270408163265312, 0.0016581632653061252, 0.005357142857142852, 0.004469811231293709, 0.001817602040816328, 0.0007463316170524748)	(00:00:17)	
5	TestOp_80,1,1,2,false,stump,Any[],1,(10,45,30)	(0.0, 32.14, 67.86, 50.0, 50.0, 00:00:01)	(25.0, 57.14, 67.86, 64.0, 62.5, 00:00:01)	(42.14, 59.29, 82.86, 77.6, 71.07, 35.28)	(0.007908163265306117, 0.0022959183673469416, 0.002168367346938777, 0.0033008751710050413, 0.001977040816326529, 0.0005414274789494642)	(00:00:14)	
6	TestOp_80,1,1,2,false,stump,Any[],1,(10,45,30)	(32.14, 60.71, 71.43, 68.0, 66.07, 00:00:01)	(42.86, 78.57, 64.29, 68.75, 71.43, 00:00:01)	(47.86, 77.86, 70.0, 72.34, 73.93, 37.56)	(0.00293367346938776, 0.0008928571428571421, 0.002933673469387752, 0.0013312959269536624, 0.0007334183673469399, 0.00032979783525730516)	(00:00:15)	
7	TestOp_80,1,1,2,false,stump,Any[],1,(10,45,30)	(28.57, 64.29, 64.29, 64.29, 64.29, 00:00:01)	(32.14, 67.86, 64.29, 65.52, 66.07, 00:00:01)	(50.0, 75.0, 75.0, 75.22, 75.0, 40.21)	(0.01466836734693877, 0.0031887755102040782, 0.006377551020408157, 0.00483966850918418, 0.0036670918367346923, 0.0013510070768445747)	(00:00:15)	
8	TestOp_80,1,1,2,false,stump,Any[],1,(10,45,30)	(17.86, 64.29, 53.57, 58.06, 58.93, 00:00:01)	(17.86, 85.71, 32.14, 55.81, 58.93, 00:00:01)	(42.14, 75.71, 66.43, 69.37, 71.07, 37.55)	(0.004081632653061218, 0.002806122448979589, 0.002933673469387758, 0.0009994832738911459, 0.0010204081632653047, 0.0011687299449132614)	(00:00:15)	
9	TestOp_80,1,1,2,false,stump,Any[],1,(10,45,30)	(28.57, 60.71, 67.86, 65.38, 64.29, 00:00:01)	(28.57, 64.29, 64.29, 64.29, 64.29, 00:00:01)	(37.86, 62.86, 75.0, 71.44, 68.93, 37.6)	(0.006122448979591831, 0.0042091836734693905, 0.0006377551020408157, 0.001310058629658152, 0.0015306122448979578, 0.00033690936498040363)	(00:00:17)	
10	TestOp_80,1,1,2,false,stump,Any[],1,(10,45,30)	(-10.71, 42.86, 46.43, 44.44, 44.64, 00:00:01)	(-3.57, 53.57, 42.86, 48.39, 48.21, 00:00:01)	(39.29, 57.86, 81.43, 76.09, 69.64, 37.23)	(0.007653061224489785, 0.0028061224489795925, 0.004719387755102041, 0.004676411341846412, 0.0019132653061224463, 0.0004639422628950098)	(00:00:17)	
1	TestOp_80,1,1,2,false,stump_with_memoization,Any[],1,(10,45,30)	(28.57, 67.86, 60.71, 63.33, 64.29, 00:00:06)	(14.29, 57.14, 57.14, 57.14, 57.14, 00:00:01)	(29.29, 53.57, 75.71, 69.07, 64.64, 36.97)	(0.01556122448979592, 0.006377551020408166, 0.007270408163265307, 0.0058485129715846115, 0.0038903061224489803, 0.002363675642727222)	(00:00:16)	
2	TestOp_80,1,1,2,false,stump_with_memoization,Any[],1,(10,45,30)	(0.0, 71.43, 28.57, 50.0, 50.0, 00:00:01)	(3.57, 71.43, 32.14, 51.28, 51.79, 00:00:01)	(20.0, 62.14, 57.86, 59.48, 60.0, 38.21)	(0.0035714285714285674, 0.004209183673469391, 0.00025510204081632634, 0.0005568730560444437, 0.0008928571428571419, 7.129749695192123e-5)	(00:00:14)	
3	TestOp_80,1,1,2,false,stump_with_memoization,Any[],1,(10,45,30)	(10.71, 57.14, 53.57, 55.17, 55.36, 00:00:01)	(7.14, 53.57, 53.57, 53.57, 53.57, 00:00:01)	(23.57, 50.0, 73.57, 65.69, 61.79, 35.95)	(0.021428571428571408, 0.005102040816326528, 0.007397959183673463, 0.010370371636934723, 0.005357142857142852, 0.0015986430089123995)	(00:00:17)	
4	TestOp_80,1,1,2,false,stump_with_memoization,Any[],1,(10,45,30)	(28.57, 53.57, 75.0, 68.18, 64.29, 00:00:01)	(39.29, 60.71, 78.57, 73.91, 69.64, 00:00:00)	(40.0, 62.14, 77.86, 74.13, 70.0, 37.53)	(0.007270408163265312, 0.0016581632653061252, 0.005357142857142852, 0.004469811231293709, 0.001817602040816328, 0.0007619724708539878)	(00:00:16)	
5	TestOp_80,1,1,2,false,stump_with_memoization,Any[],1,(10,45,30)	(0.0, 32.14, 67.86, 50.0, 50.0, 00:00:01)	(25.0, 57.14, 67.86, 64.0, 62.5, 00:00:01)	(42.14, 59.29, 82.86, 77.6, 71.07, 35.3)	(0.007908163265306117, 0.0022959183673469416, 0.002168367346938777, 0.0033008751710050413, 0.001977040816326529, 0.0005547748465608152)	(00:00:14)	
6	TestOp_80,1,1,2,false,stump_with_memoization,Any[],1,(10,45,30)	(32.14, 60.71, 71.43, 68.0, 66.07, 00:00:01)	(42.86, 78.57, 64.29, 68.75, 71.43, 00:00:01)	(47.86, 77.86, 70.0, 72.34, 73.93, 37.56)	(0.00293367346938776, 0.0008928571428571421, 0.002933673469387752, 0.0013312959269536624, 0.0007334183673469399, 0.00029549506548594816)	(00:00:17)	
7	TestOp_80,1,1,2,false,stump_with_memoization,Any[],1,(10,45,30)	(28.57, 64.29, 64.29, 64.29, 64.29, 00:00:01)	(32.14, 67.86, 64.29, 65.52, 66.07, 00:00:01)	(50.0, 75.0, 75.0, 75.22, 75.0, 40.11)	(0.01466836734693877, 0.0031887755102040782, 0.006377551020408157, 0.00483966850918418, 0.0036670918367346923, 0.0013654503112387494)	(00:00:17)	
8	TestOp_80,1,1,2,false,stump_with_memoization,Any[],1,(10,45,30)	(17.86, 64.29, 53.57, 58.06, 58.93, 00:00:01)	(17.86, 85.71, 32.14, 55.81, 58.93, 00:00:01)	(42.14, 75.71, 66.43, 69.37, 71.07, 37.74)	(0.004081632653061218, 0.002806122448979589, 0.002933673469387758, 0.0009994832738911459, 0.0010204081632653047, 0.0011430190228037735)	(00:00:16)	
