Dataseed	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	dataset_kwargs	use_full_mfcc	test_operators	ontology	# insts (TRAIN)	# insts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,51,half,all)train_accuracy	RF(0.7,51,half,all)K	RF(0.7,51,half,all)accuracy	RF(0.7,51,half,all)macro_sensitivity	RF(0.7,51,half,all)safe_macro_sensitivity	RF(0.7,51,half,all)safe_macro_specificity	RF(0.7,51,half,all)safe_macro_PPV	RF(0.7,51,half,all)safe_macro_NPV	RF(0.7,51,half,all)safe_macro_F1	RF(0.7,51,half,all)oob_error	RF(0.7,51,half,all)n_nodes	RF(0.7,51,half,all)σ² train_accuracy	RF(0.7,51,half,all)σ² K	RF(0.7,51,half,all)σ² accuracy	RF(0.7,51,half,all)σ² macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_specificity	RF(0.7,51,half,all)σ² safe_macro_PPV	RF(0.7,51,half,all)σ² safe_macro_NPV	RF(0.7,51,half,all)σ² safe_macro_F1	RF(0.7,51,half,all)σ² oob_error	RF(0.7,51,half,all)σ² n_nodes	RF(0.7,51,half,all)t	RF(0.7,51,half,all)hash	
1	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1",["NG","Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	368	92	[60]	[(8,)]	94.29	39.13	69.57	69.57	73.91	65.22	68.0	71.43	70.83	57	35.415	8a199a92eeab1bb3297c610ea648cfac4790a6a7c2d5b2cc8353b5777a6bc66a	92.12	36.96	68.48	68.48	73.91	63.04	66.67	70.73	70.1	49	16.065	dd1f87f4318200dbcc00198c3e669d95acfe6a0511eb6e2da31b6aa708241932	83.15	41.3	70.65	70.65	76.09	65.22	68.63	73.17	72.16	23	15.837	219c4241df12447cba1ff3fc14d997417995182296b2a160de80226a50086c6c	92.66	41.3	70.65	70.65	71.74	69.57	70.21	71.11	70.97	49	16.557	130f2a5a9b355ae9d4dc7862e275feea0223012519e715763eb779091ea39c35	91.03	39.13	69.57	69.57	71.74	67.39	68.75	70.45	70.21	43	16.158	0ce2feb88e5a04f204a76e926db9ea83c81e8f71a23d1d65b913acbcc7d2bc00	83.15	41.3	70.65	70.65	76.09	65.22	68.63	73.17	72.16	23	16.067	219c4241df12447cba1ff3fc14d997417995182296b2a160de80226a50086c6c	99.89	45.65	72.83	72.83	69.57	76.09	74.44	71.47	71.89	25.65	252260.0	0.0	0.38	0.09	0.09	0.17	0.12	0.11	0.1	0.11	0.01	39880.0	218.323	("c2d270164607cd462eda9cbdbef709449d5b00865a61f7c074b24dafbd3fd1c6", "9c0b335fc4b39c09e970cba63eb4798298b292ca92097de59dcbc461b26c1b5b", "e3c5adf5bb841da7db963f1665c5dcb659eb9486bbbc4456389f7d5e73044faf", "ce045794e1637fd4433a56628e3ced9371aacfccbc601e707a0b22781a252fdd", "f236c77c36c059a6fa1a002644eed999062ea36271e15b92a9343dab854324d7")	
2	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1",["NG","Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	368	92	[60]	[(8,)]	95.92	47.83	73.91	73.91	71.74	76.09	75.0	72.92	73.33	65	14.218	457b56987160315470f2e6c89543f6934b71643d3208450448e60c04dd8d87f8	86.96	41.3	70.65	70.65	63.04	78.26	74.36	67.92	68.24	33	12.142	325968ff940d26fd38378ffb312a0e96c4f8b8ae4de589aba3a5747edfc816f3	78.53	39.13	69.57	69.57	65.22	73.91	71.43	68.0	68.18	13	10.402	44d17dd1bd1dc85055ba02d00be69156373fc07f1299e08660a9c4920d5f6456	95.11	47.83	73.91	73.91	73.91	73.91	73.91	73.91	73.91	59	12.483	edac19f355e918c141216b7ff9a2f68d6cc9c5343955a7304cbbe522e99dc6c6	87.23	41.3	70.65	70.65	63.04	78.26	74.36	67.92	68.24	33	11.919	5daeb4fb4a86b638db091e03eb2d96220facefa56b242b8a70c2c5e3b574de34	78.53	39.13	69.57	69.57	65.22	73.91	71.43	68.0	68.18	13	10.575	44d17dd1bd1dc85055ba02d00be69156373fc07f1299e08660a9c4920d5f6456	99.95	45.65	72.83	72.83	69.13	76.52	74.82	71.21	71.82	27.01	256700.0	0.0	0.33	0.08	0.08	0.03	0.27	0.18	0.04	0.06	0.01	158800.0	221.246	("3521e857102cb0116ea406edafbdd8bcca101b01ce8ceba5c03f27d49ccc60f6", "f45d51b58e34df8e80ec7753de631e4927a284cdf3110e251e845742a832e786", "d593a705dc3f4dbd00ab13c00e57d7df12eb829c43b811687738bcc7d3480930", "5d26a1a3fcbd69c5516546fe4685b17bad542971501da9221a04f453b01e5362", "01c11f79f5e435839e394348f6b1f274494b2b56458a8e4d3c1083d0257b2919")	
3	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1",["NG","Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	368	92	[60]	[(8,)]	93.75	30.43	65.22	65.22	82.61	47.83	61.29	73.33	70.37	55	12.146	3c08151caa3ecbaf02ab96ac330e4af6d6efaa6201709a6d74a570a03a7e8f50	89.95	30.43	65.22	65.22	82.61	47.83	61.29	73.33	70.37	37	11.284	a88a51d661ddb1474a7792a320f60618afd297d842c4ede25358d0b5d6a304f9	75.82	26.09	63.04	63.04	71.74	54.35	61.11	65.79	66.0	9	8.54	f47357de737b3e82d09a04b52204e4656bf45062bdf9b9dd7efd28777371f290	90.76	30.43	65.22	65.22	80.43	50.0	61.67	71.88	69.81	37	11.377	cac6480d001beb34898c750eafc7fca88790d81a8a5b0849ca602e039558ffb8	90.22	28.26	64.13	64.13	80.43	47.83	60.66	70.97	69.16	33	11.271	2196cab94bf14accd93de6c9876eeb7485a4284667e4e7975d066cd744a16b53	75.82	26.09	63.04	63.04	71.74	54.35	61.11	65.79	66.0	9	8.592	f47357de737b3e82d09a04b52204e4656bf45062bdf9b9dd7efd28777371f290	99.62	43.04	71.52	71.52	73.48	69.57	70.74	72.42	72.06	24.35	254460.0	0.0	0.1	0.03	0.03	0.06	0.07	0.03	0.03	0.03	0.01	61280.0	237.827	("74937b8705a77a7b0ed8cd6183329734a1a5808ea5ad8d20cd714c9df9779791", "ff0d42139168428d68fb545c9b0d773c52b7666ebd1db53d7dc85352e207882e", "93fddb4744e7e71b1992dc20256f5358be7e0a3f7a2e4015fa7a5cb8230e2e2f", "a956c46649d7e7c685a1eaf7832e5d1f79a266a67392673d3871ac7655ac4538", "22bb6b453a121eefe2a90089fa48d111a5bffb16ad52950f42e7cb61d0553c54")	
4	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1",["NG","Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	368	92	[60]	[(8,)]	95.65	23.91	61.96	61.96	65.22	58.7	61.22	62.79	63.16	53	10.929	bceddec13244f36ff84f41e9a1ff4180926231d619e833b0d90dbdd9976737b6	94.57	23.91	61.96	61.96	65.22	58.7	61.22	62.79	63.16	49	10.754	7b445beb8f4ab214ab0aa3cc8673ac902123fd898130da61122850b8e89423dd	77.17	8.7	54.35	54.35	52.17	56.52	54.55	54.17	53.33	15	2.113	daa3aee44cc159669f67cc914f2ccfa9ed6f9bd3fbd13ff65f3fc0934a3dd6f8	94.29	26.09	63.04	63.04	67.39	58.7	62.0	64.29	64.58	53	10.888	6c4fa6752cda7c4fa3994600b2a459226d316460d70424ce2f583182221a9db4	94.29	26.09	63.04	63.04	67.39	58.7	62.0	64.29	64.58	49	10.774	f382487adbc9b816114e1039780e7bcb5b8fead7e596df1e05252b7636d933be	77.17	8.7	54.35	54.35	52.17	56.52	54.55	54.17	53.33	15	2.123	daa3aee44cc159669f67cc914f2ccfa9ed6f9bd3fbd13ff65f3fc0934a3dd6f8	99.78	47.83	73.91	73.91	67.39	80.43	77.6	71.25	72.04	26.2	249260.0	0.0	0.17	0.04	0.04	0.21	0.12	0.07	0.06	0.07	0.08	38280.0	208.11	("333736283efd5bb6feba9e9b662b85b76ddf30b8e3f558f29bd6e5b4d64566aa", "623e21adec4aeff1eb7ecc1e8a377385a277047a41bfd72c348ca8bb449ff165", "1b1b731ec35960e4dfdce08706ddf0da6d3e1752b213257510413e24992d9010", "4ace9f60896c9a2d5e13081454ae92b14b6b7352e17110f4332fba95a459728e", "95ed0f5aa71c8d2959172b74c37224872cae08e487c690bd6747a75d7d231915")	
5	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1",["NG","Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	368	92	[60]	[(8,)]	95.38	28.26	64.13	64.13	65.22	63.04	63.83	64.44	64.52	59	5.145	df437d79308ff0c5c5c67d54ecee87b3898fab505615afddf4408a60111567c1	86.68	36.96	68.48	68.48	69.57	67.39	68.09	68.89	68.82	33	4.372	6a95f399c746eb50c26f36736f45fb1cc003a916c5d671ca4f13b897d36e6bf4	83.42	36.96	68.48	68.48	67.39	69.57	68.89	68.09	68.13	25	3.407	d6f223a6ccc8d9593e2f67ce83b12b3586f7afa76aeedd84bace634b2afeea9b	94.29	23.91	61.96	61.96	65.22	58.7	61.22	62.79	63.16	57	4.837	4e537f86364213153a8b07854b7c192404fa65e219595ea143fd0843195e2387	86.14	39.13	69.57	69.57	69.57	69.57	69.57	69.57	69.57	31	4.39	8b1ff87a908b8916caf9f167ef095633f7d9673ae267c53aa3038a249a0e5242	83.42	36.96	68.48	68.48	67.39	69.57	68.89	68.09	68.13	25	3.413	d6f223a6ccc8d9593e2f67ce83b12b3586f7afa76aeedd84bace634b2afeea9b	99.89	47.83	73.91	73.91	75.22	72.61	73.35	74.6	74.24	25.71	254220.0	0.0	0.09	0.02	0.02	0.09	0.09	0.03	0.04	0.03	0.03	67720.0	222.628	("b8059cce67677b888592901f3a00c349714a88f1d09ef679a1851e6002a58be1", "ee1953a68d1d2dfb387c047274fc30c99b872d760dff74e037a91476f973334b", "448ce016932a383984c5f08d2d53dc10290100780eb136011477a094c5236590", "e972917ae01de944c9e3612914a91575f8b0603da5b2c54496d117d3ef864891", "37e5ee4efae00e70f55014f584fd21116bec2e3aec0d77afe35b17fc87d931e1")	
6	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1",["NG","Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	368	92	[60]	[(8,)]	94.84	47.83	73.91	73.91	67.39	80.43	77.5	71.15	72.09	49	13.775	eb85bbf005337adb624dea1ed6fd6e3d0e486986d868fac5528a66b72424a68b	93.48	36.96	68.48	68.48	67.39	69.57	68.89	68.09	68.13	43	13.762	7942cd9fe25a595687d6cf6b6d4b5a6baa89c1b606142cf726725d039d1c8ff8	83.42	39.13	69.57	69.57	60.87	78.26	73.68	66.67	66.67	19	13.069	9bfd921946f26b066fd8a0771ca7c69bebbb7e8d58af243b88587a8d86edd5b8	93.48	32.61	66.3	66.3	65.22	67.39	66.67	65.96	65.93	49	13.352	233c30688e87ecbd3569f9129cd595c8bf51e3e05fe249a8713691588d2e4906	93.48	30.43	65.22	65.22	69.57	60.87	64.0	66.67	66.67	43	13.434	908aabba1bb387364d061dfbdac06c0cd3549c78b2c625a7efd9193eb4d59b2c	83.42	39.13	69.57	69.57	60.87	78.26	73.68	66.67	66.67	19	13.244	9bfd921946f26b066fd8a0771ca7c69bebbb7e8d58af243b88587a8d86edd5b8	99.89	62.61	81.3	81.3	76.52	86.09	84.72	78.58	80.37	26.09	254060.0	0.0	0.1	0.03	0.03	0.03	0.11	0.1	0.02	0.02	0.04	37080.0	224.337	("a6db34becea88339b16fbf475611c927865c09e43dfd4e8b9b6b9dfaa0893f54", "9a7e2b4fe58593cf44e28415467328ac4e38297b16fd7e51ea61cdfd4ec146db", "7d03977a702bf27cd6f07b2821be60b4865b9a014ac8692882b669e9bfbf6ca5", "dbfd47a900da692e5903db096f2e9978a147e7e8f4aff7087d4da3a4cb49dd84", "600a15c2d0388e823da934e08ba8ab07af10c55e91e5d626662a7c2f4b8ed541")	
7	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1",["NG","Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	368	92	[60]	[(8,)]	94.57	23.91	61.96	61.96	60.87	63.04	62.22	61.7	61.54	49	9.131	d74c3e40e550f063b60e228c40c0546f46295788501ea57a32ef4066e9fe391d	94.02	23.91	61.96	61.96	60.87	63.04	62.22	61.7	61.54	47	9.509	ad9e8bd08ee55e9c216afb1aec104c7d776d2357f934cf8042ade5169a3faa7e	79.89	34.78	67.39	67.39	67.39	67.39	67.39	67.39	67.39	15	5.465	2f347141c6a46c429f0ceb47a6f78674e04e5e79b46cf1c1131bf131a347decb	93.48	23.91	61.96	61.96	58.7	65.22	62.79	61.22	60.67	45	8.867	42f946a8d0799e71db97ab209432083e74630191f160f97fca20979de5b74c5b	93.48	26.09	63.04	63.04	60.87	65.22	63.64	62.5	62.22	43	9.009	c28fe4ee5188dd2af85a4b8099afb34ac74f4334e7d759b61668fd82cb9d87d5	79.89	34.78	67.39	67.39	67.39	67.39	67.39	67.39	67.39	15	5.488	2f347141c6a46c429f0ceb47a6f78674e04e5e79b46cf1c1131bf131a347decb	99.95	49.57	74.78	74.78	68.26	81.3	78.74	71.89	73.06	23.21	247140.0	0.0	0.27	0.07	0.07	0.04	0.3	0.2	0.02	0.04	0.04	145880.0	209.186	("1d07f09071a08dc316a2b566232039b9263e795f2a1ca737df95238bd4c398f2", "6cea2646de0c8dbe9303c07a6bd31eb9a593942e0a73643b79a31de435729300", "4aa6596a9110c5ea49d4a52b2d7d5beba4dea389c7893a9fb67b93e80e890c10", "721693106de70b08408f6c6892b2b6eb0225af332c3df80a07f7690397829a89", "4fda2cdbd0403f0c29af8ed0726a65653686a06a0824a2c0c69307507d5fb5ac")	
8	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1",["NG","Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	368	92	[60]	[(8,)]	97.01	39.13	69.57	69.57	63.04	76.09	72.5	67.31	67.44	65	18.088	27eef768df79f246fa0d4e08691718ca13bd528e83e89b54b5da270c37861464	97.01	39.13	69.57	69.57	63.04	76.09	72.5	67.31	67.44	65	18.164	27eef768df79f246fa0d4e08691718ca13bd528e83e89b54b5da270c37861464	73.64	28.26	64.13	64.13	58.7	69.57	65.85	62.75	62.07	7	7.067	698693a1b136b7a5eea5b0e7ddc411dd9dd5d576fab65a10173e5a9f5b343571	96.74	39.13	69.57	69.57	60.87	78.26	73.68	66.67	66.67	65	18.249	ce00c9a46f252a8fdd277a90693e4a276e2099bd8e1873ab59552c8e28258fb5	96.74	39.13	69.57	69.57	60.87	78.26	73.68	66.67	66.67	63	18.276	17dcd5f5db50f9824487bd378c50e53d743c146e515ccf6337c123cacdd263ce	73.64	28.26	64.13	64.13	58.7	69.57	65.85	62.75	62.07	7	7.0	698693a1b136b7a5eea5b0e7ddc411dd9dd5d576fab65a10173e5a9f5b343571	99.95	62.17	81.09	81.09	76.52	85.65	84.28	78.52	80.17	23.86	255140.0	0.0	0.23	0.06	0.06	0.1	0.11	0.1	0.06	0.07	0.03	300080.0	219.239	("8734e559664b6d7d9ab4b3d88d8341d9a51bb1ad75619ba52f4bb8dccd4a749b", "4a0548094086c9ac32974835e92b9587e8da72571c48a5f317ec5df472f23ab7", "a7f9a141a63ac0b1d0972e8e9a69f7efde9d1f32d4e012e145790f4f13508f2f", "f632b4af1b4a42625a0205bfe660311980a3866cc09db6eeccacc97865500da8", "58d9ba098ea11d148aaaff4866aa1f868238202e5b86aac3ffdaedfeb94ba407")	
9	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1",["NG","Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	368	92	[60]	[(8,)]	92.12	65.22	82.61	82.61	82.61	82.61	82.61	82.61	82.61	39	9.607	58daab18bfbf1fef5d578574363214c9558ca544d4599af6e580fa22a794cf0c	91.58	67.39	83.7	83.7	84.78	82.61	82.98	84.44	83.87	37	9.74	f1b0520e65175466f787ee121c3c9b533a30e2810928a489ed404944397938e8	77.99	52.17	76.09	76.09	80.43	71.74	74.0	78.57	77.08	15	2.157	cd3aee9ad23a0d24a5de9d3d8f94a824488469b24d6dc68064ae0f2edc001cb6	91.03	65.22	82.61	82.61	80.43	84.78	84.09	81.25	82.22	39	9.848	3b6e4d730f98e67cfd1f1c81a12e445067aba43c0fdd7254febd861feeb19b1b	91.03	67.39	83.7	83.7	84.78	82.61	82.98	84.44	83.87	37	9.73	bf4b6ec76b1da10c44d9f09cf186670706eb458e44f84e01b97654c03c7d734d	77.99	52.17	76.09	76.09	80.43	71.74	74.0	78.57	77.08	15	2.159	cd3aee9ad23a0d24a5de9d3d8f94a824488469b24d6dc68064ae0f2edc001cb6	99.84	54.35	77.17	77.17	71.3	83.04	80.91	74.34	75.75	26.96	254660.0	0.0	0.47	0.12	0.12	0.15	0.22	0.23	0.09	0.13	0.01	25280.0	212.709	("91b439be5189954f2773bfc08b51360da9277c095f98929606399f1705e96723", "c2aef52ae7ff28aa5b669465caccd653dfdc5e31416804966f36a286bb473db6", "daccfb47836d8dc322ba16f28bd8ada773b151993ce9147bf2d9d20269945088", "0db559f059c3d7bd4d8baa4936f31d5d0399871537f750293bceebf1d758fb0f", "8f9650594ec6e71367709ff09531bcb82b4218fe64f61185e5cf829ca6fdfe42")	
