TIMESTAMP	FILE NAME	COMP TIME	ARGS	
13/07/2021 01:00:22	dataset_86ac77a9b8e40780f5f917e49d2b00cb01860e1269993f6c085d0ff2eb0940e2.jld	00:00:22	(1, 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 2, sumpower = false, dither = false), (max_points = 10, ma_size = 45, ma_step = 30), Any[], false)	
13/07/2021 14:46:22	dataset_0c66a1a1d100406f61527c8ed34de5ad37d956f78b1be4608a25867b1a5d35e2.jld	00:00:22	(2, 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 2, sumpower = false, dither = false), (max_points = 1, ma_size = 45, ma_step = 30), Any[], false)	
13/07/2021 14:51:08	dataset_bb177238bc58c9c08aeddfae0cfdce375d518214c1d96038bff7f041dc572371.jld	00:00:21	(3, 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 2, sumpower = false, dither = false), (max_points = 1, ma_size = 45, ma_step = 30), Any[], false)	
13/07/2021 15:12:31	dataset_e892e1a16d003f7551786795372fd3c0dbcd1ed0de25eef3908b32cc93bfccd6.jld	00:01:39	(1, 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 2, sumpower = false, dither = false), (max_points = 1, ma_size = 45, ma_step = 30), Any[], false)	
13/07/2021 15:34:22	dataset_70d20d2fa01ba63a43dc6c206dae647cc41c5187a61a28c695d6f7323b17a03e.jld	00:01:50	(2, 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 2, sumpower = false, dither = false), (max_points = 1, ma_size = 45, ma_step = 30), Any[], false)	
13/07/2021 15:42:04	dataset_27196448b30453ec13787ce0a424eab2b7b37d59f537071dc79c00749a7bbb9c.jld	00:01:31	(3, 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 2, sumpower = false, dither = false), (max_points = 1, ma_size = 45, ma_step = 30), Any[], false)	
14/07/2021 14:39:40	dataset_deae296892e7f991b950c2028f4940605abe1355ac88a4df52402a8fcd72e4f1.jld	00:01:41	((2, true), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 2, sumpower = false, dither = false), (max_points = 10, ma_size = 45, ma_step = 30), Any[], false)	
14/07/2021 19:27:59	dataset_4371f8b00d27e9dee06af36cd132721613616cd0c773b6d20bf82bce3caa3fd4.jld	00:01:32	((1, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 2, sumpower = false, dither = false), (max_points = 5, ma_size = 45, ma_step = 30), Any[], false)	
26/07/2021 15:46:20	dataset_21f486462f567244d64e10c52a552f65734a4fadac5e8ba8053944f4298a397f.jld	00:00:24	((1, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 20, sumpower = false, dither = false), (max_points = 20, ma_size = 45, ma_step = 30), Any[], false)	
26/07/2021 16:02:38	dataset_00f10b97fbc4801088b72dc7ff8c0368780a46acc4e74a47bc81180e502273fb.jld	00:00:23	((1, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:02:43	dataset_7e726f756542e5888e9586dc80885baaf12a312ec1038bf6ae53663edd99c7c1.jld	00:00:04	((2, true), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:02:44	dataset_ce1c5cbb1b89f579c2be8ef52bc3281a9a2534eb3d5d1cdc1359c4e785330ae1.jld	00:00:02	((3, true), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:02:46	dataset_29b708ffc92013a965395da33d04c3aded32cdc91da7f6c2f4a1397e6873abdd.jld	00:00:01	((2, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:02:47	dataset_50d517cb1802796fd23ff4022f7caf18993c20ebd38d500c88a2629b129047f0.jld	00:00:01	((3, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:03:02	dataset_023b033dc3d229f89d0ee05980f722000f7d5ebfb3ab60444888a16a5fe3807b.jld	00:00:15	((1, false), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:03:08	dataset_7073ce3866a4d3a0c234377fd1ea988a227edbd86cdfe104fc9b832142099966.jld	00:00:06	((2, true), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:03:11	dataset_bac6b559f2225cd11c0529e3df830a233e8ef65793760d4d87d07904abb96d08.jld	00:00:03	((3, true), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:03:14	dataset_93bae12b312f08853dcd43d54a8a42d6372bd79a3822275e662a6211cdc944e0.jld	00:00:03	((2, false), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:03:17	dataset_74ebd4644d7c8590176772f5833643c445bf1f68cd547d90dc8db0a4e3dc1628.jld	00:00:03	((3, false), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:03:40	dataset_2837678a2708e1eff51a250e54b971ca5d7fa83195341cd71566f4d22603f3de.jld	00:00:23	((1, false), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:03:48	dataset_2e4e7e8049cb12be70f552f6803eb24da47883fa0ae07e33d2b2e2a12f4428b0.jld	00:00:09	((2, true), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:03:54	dataset_143c129ff77bfc6c7c8f9edd2bdab67a38616472ecf7480a48077efaa8b5e709.jld	00:00:05	((3, true), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:03:59	dataset_9e492ab7e1c6d450be873a90d66c9e0e1db50c74c5d8248c5c133a66e7b768ba.jld	00:00:05	((2, false), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:04:03	dataset_387d99585cd51df0f1ba3ada3e60d113fabdb4d42729119eb397310e060415cc.jld	00:00:04	((3, false), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 90, ma_step = 60), Any[], false)	
26/07/2021 16:04:11	dataset_eee049c9fca3d1d7c6a1f475859cb10c614576eea8a3736259d6287e778fd107.jld	00:00:08	((1, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:04:14	dataset_0717c5ebd56275dbcbf8d4ac4f578c3298dcf68b360547bc6f4c8b8933def036.jld	00:00:03	((2, true), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:04:16	dataset_0a11795f08707e890bf98a29258d12a47ec54326b2dc85442d9a2df86cf5ebd4.jld	00:00:02	((3, true), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:04:17	dataset_528340690638c073499d1f6a98aca8c1f4ead36d2db0c94ab26462fdd4af911e.jld	00:00:02	((2, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:04:19	dataset_213b6a856c63df7b3d7b7839275ff0eaae191221566f27cd4edff0b3d99e0d2f.jld	00:00:01	((3, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:04:35	dataset_0162bb55c7d70b597788ecd3050caffe70b135527de612fe68e6804835f42840.jld	00:00:16	((1, false), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:04:41	dataset_900c424e547f942ba3b57f8553ed9f51e863e9d669e10403c5ccc46759d96656.jld	00:00:06	((2, true), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:04:44	dataset_3a878c8340f208acc87b834e42a8cb77fb08e086eb0420b8ccaf521946391152.jld	00:00:04	((3, true), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:04:48	dataset_86f80dcacfdf2ab69c598861109ab731cac458e83f4f88b0045fef5ab3414aa7.jld	00:00:03	((2, false), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:04:51	dataset_b817a5ceb1de6eedabfd11c456c4b34a2452f4fc58c5657014ab7c78312f28e7.jld	00:00:03	((3, false), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:05:16	dataset_8e8b803bcd8d0991508418e8bdb2285ad20dac89bc455a98810e939f61a16612.jld	00:00:25	((1, false), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:05:25	dataset_a2d9cb311c8efa434ad4b2ba6ff256d01502a3fa0a62e84a989c03342fbe359c.jld	00:00:10	((2, true), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:05:31	dataset_ebf5fa2bae05b79c6c92e3f4779ddc25b91bf2124daa61d4ebbba453e90e9b43.jld	00:00:06	((3, true), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:05:36	dataset_62d28e65f83d757920cd3f506a075fa7c9acb6c063a81e6b318406f1f8fcb858.jld	00:00:05	((2, false), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
26/07/2021 16:05:40	dataset_0d01008733c954b9ec1aadb4d9b33bf7eaed92f5b92358cc307e3f19d27c402e.jld	00:00:04	((3, false), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false), (ma_size = 75, ma_step = 50), Any[], false)	
