Dataseed	Params-combination	T(entropy,2,0.01,0.2)	T(entropy,2,0.01,0.6)	
1	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 60.021)	(35.71, 67.86, 64.29, 71.43, 69.23, 66.67, 66.67, 6.925)	
2	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(25.0, 62.5, 64.29, 60.71, 62.07, 62.96, 63.16, 83.095)	(25.0, 62.5, 53.57, 71.43, 65.22, 60.61, 58.82, 15.389)	
3	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 57.14, 57.14, 57.14, 57.14, 57.14, 47.035)	(35.71, 67.86, 53.57, 82.14, 75.0, 63.89, 62.5, 6.117)	
4	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(0.0, 50.0, 60.71, 39.29, 50.0, 50.0, 54.84, 154.509)	(10.71, 55.36, 67.86, 42.86, 54.29, 57.14, 60.32, 19.154)	
5	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(28.57, 64.29, 75.0, 53.57, 61.76, 68.18, 67.74, 49.603)	(32.14, 66.07, 57.14, 75.0, 69.57, 63.64, 62.75, 19.731)	
1	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(50.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 83.371)	(67.86, 83.93, 82.14, 85.71, 85.19, 82.76, 83.64, 15.177)	
2	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 154.539)	(35.71, 67.86, 75.0, 60.71, 65.62, 70.83, 70.0, 26.844)	
3	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(10.71, 55.36, 60.71, 50.0, 54.84, 56.0, 57.63, 203.241)	(21.43, 60.71, 57.14, 64.29, 61.54, 60.0, 59.26, 34.264)	
4	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 263.632)	(10.71, 55.36, 75.0, 35.71, 53.85, 58.82, 62.69, 44.156)	
5	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(57.14, 78.57, 75.0, 82.14, 80.77, 76.67, 77.78, 123.517)	(39.29, 69.64, 75.0, 64.29, 67.74, 72.0, 71.19, 43.733)	
1	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 55.815)	(35.71, 67.86, 64.29, 71.43, 69.23, 66.67, 66.67, 6.934)	
2	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(25.0, 62.5, 64.29, 60.71, 62.07, 62.96, 63.16, 81.19)	(25.0, 62.5, 53.57, 71.43, 65.22, 60.61, 58.82, 14.952)	
3	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 57.14, 57.14, 57.14, 57.14, 57.14, 46.59)	(35.71, 67.86, 53.57, 82.14, 75.0, 63.89, 62.5, 6.017)	
4	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(0.0, 50.0, 60.71, 39.29, 50.0, 50.0, 54.84, 148.396)	(10.71, 55.36, 67.86, 42.86, 54.29, 57.14, 60.32, 19.127)	
5	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(28.57, 64.29, 75.0, 53.57, 61.76, 68.18, 67.74, 48.614)	(32.14, 66.07, 57.14, 75.0, 69.57, 63.64, 62.75, 19.246)	
1	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(50.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 83.716)	(67.86, 83.93, 82.14, 85.71, 85.19, 82.76, 83.64, 15.632)	
2	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 163.036)	(35.71, 67.86, 75.0, 60.71, 65.62, 70.83, 70.0, 25.731)	
3	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(10.71, 55.36, 60.71, 50.0, 54.84, 56.0, 57.63, 193.329)	(21.43, 60.71, 57.14, 64.29, 61.54, 60.0, 59.26, 34.263)	
4	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 277.112)	(10.71, 55.36, 75.0, 35.71, 53.85, 58.82, 62.69, 45.04)	
5	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(57.14, 78.57, 75.0, 82.14, 80.77, 76.67, 77.78, 123.907)	(39.29, 69.64, 75.0, 64.29, 67.74, 72.0, 71.19, 44.354)	
1	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 56.01)	(35.71, 67.86, 64.29, 71.43, 69.23, 66.67, 66.67, 6.78)	
2	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(25.0, 62.5, 64.29, 60.71, 62.07, 62.96, 63.16, 85.16)	(25.0, 62.5, 53.57, 71.43, 65.22, 60.61, 58.82, 14.848)	
3	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 57.14, 57.14, 57.14, 57.14, 57.14, 46.243)	(35.71, 67.86, 53.57, 82.14, 75.0, 63.89, 62.5, 6.107)	
4	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(0.0, 50.0, 60.71, 39.29, 50.0, 50.0, 54.84, 157.42)	(10.71, 55.36, 67.86, 42.86, 54.29, 57.14, 60.32, 19.5)	
5	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(28.57, 64.29, 75.0, 53.57, 61.76, 68.18, 67.74, 50.69)	(32.14, 66.07, 57.14, 75.0, 69.57, 63.64, 62.75, 19.357)	
1	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(50.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 83.186)	(67.86, 83.93, 82.14, 85.71, 85.19, 82.76, 83.64, 15.035)	
2	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 155.857)	(35.71, 67.86, 75.0, 60.71, 65.62, 70.83, 70.0, 25.04)	
3	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(10.71, 55.36, 60.71, 50.0, 54.84, 56.0, 57.63, 195.833)	(21.43, 60.71, 57.14, 64.29, 61.54, 60.0, 59.26, 34.759)	
4	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 276.3)	(10.71, 55.36, 75.0, 35.71, 53.85, 58.82, 62.69, 45.551)	
5	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(57.14, 78.57, 75.0, 82.14, 80.77, 76.67, 77.78, 127.708)	(39.29, 69.64, 75.0, 64.29, 67.74, 72.0, 71.19, 44.945)	
1	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 56.856)	(35.71, 67.86, 64.29, 71.43, 69.23, 66.67, 66.67, 7.131)	
2	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(25.0, 62.5, 64.29, 60.71, 62.07, 62.96, 63.16, 81.16)	(25.0, 62.5, 53.57, 71.43, 65.22, 60.61, 58.82, 15.077)	
3	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 57.14, 57.14, 57.14, 57.14, 57.14, 46.694)	(35.71, 67.86, 53.57, 82.14, 75.0, 63.89, 62.5, 5.899)	
4	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(0.0, 50.0, 60.71, 39.29, 50.0, 50.0, 54.84, 156.608)	(10.71, 55.36, 67.86, 42.86, 54.29, 57.14, 60.32, 19.025)	
5	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(28.57, 64.29, 75.0, 53.57, 61.76, 68.18, 67.74, 48.919)	(32.14, 66.07, 57.14, 75.0, 69.57, 63.64, 62.75, 18.951)	
1	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(50.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 82.948)	(67.86, 83.93, 82.14, 85.71, 85.19, 82.76, 83.64, 15.021)	
2	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 155.607)	(35.71, 67.86, 75.0, 60.71, 65.62, 70.83, 70.0, 25.075)	
3	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(10.71, 55.36, 60.71, 50.0, 54.84, 56.0, 57.63, 195.918)	(21.43, 60.71, 57.14, 64.29, 61.54, 60.0, 59.26, 34.003)	
4	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 264.456)	(10.71, 55.36, 75.0, 35.71, 53.85, 58.82, 62.69, 44.097)	
5	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(57.14, 78.57, 75.0, 82.14, 80.77, 76.67, 77.78, 123.606)	(39.29, 69.64, 75.0, 64.29, 67.74, 72.0, 71.19, 43.585)	
1	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 55.819)	(35.71, 67.86, 64.29, 71.43, 69.23, 66.67, 66.67, 6.909)	
2	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(25.0, 62.5, 64.29, 60.71, 62.07, 62.96, 63.16, 81.341)	(25.0, 62.5, 53.57, 71.43, 65.22, 60.61, 58.82, 14.891)	
3	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 57.14, 57.14, 57.14, 57.14, 57.14, 46.654)	(35.71, 67.86, 53.57, 82.14, 75.0, 63.89, 62.5, 6.055)	
4	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(0.0, 50.0, 60.71, 39.29, 50.0, 50.0, 54.84, 153.03)	(10.71, 55.36, 67.86, 42.86, 54.29, 57.14, 60.32, 19.443)	
5	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(28.57, 64.29, 75.0, 53.57, 61.76, 68.18, 67.74, 49.467)	(32.14, 66.07, 57.14, 75.0, 69.57, 63.64, 62.75, 18.961)	
1	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(50.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 82.939)	(67.86, 83.93, 82.14, 85.71, 85.19, 82.76, 83.64, 15.255)	
2	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 155.143)	(35.71, 67.86, 75.0, 60.71, 65.62, 70.83, 70.0, 25.408)	
3	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(10.71, 55.36, 60.71, 50.0, 54.84, 56.0, 57.63, 189.244)	(21.43, 60.71, 57.14, 64.29, 61.54, 60.0, 59.26, 33.87)	
4	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 261.777)	(10.71, 55.36, 75.0, 35.71, 53.85, 58.82, 62.69, 44.526)	
5	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(57.14, 78.57, 75.0, 82.14, 80.77, 76.67, 77.78, 123.0)	(39.29, 69.64, 75.0, 64.29, 67.74, 72.0, 71.19, 43.674)	
1	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 55.974)	(35.71, 67.86, 64.29, 71.43, 69.23, 66.67, 66.67, 6.873)	
2	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(25.0, 62.5, 64.29, 60.71, 62.07, 62.96, 63.16, 82.312)	(25.0, 62.5, 53.57, 71.43, 65.22, 60.61, 58.82, 14.844)	
3	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 57.14, 57.14, 57.14, 57.14, 57.14, 45.566)	(35.71, 67.86, 53.57, 82.14, 75.0, 63.89, 62.5, 6.043)	
4	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(0.0, 50.0, 60.71, 39.29, 50.0, 50.0, 54.84, 150.947)	(10.71, 55.36, 67.86, 42.86, 54.29, 57.14, 60.32, 19.285)	
5	stump_with_memoization,1,1,20,(20,45,30),false,Any[],TestOp_80	(28.57, 64.29, 75.0, 53.57, 61.76, 68.18, 67.74, 50.264)	(32.14, 66.07, 57.14, 75.0, 69.57, 63.64, 62.75, 18.384)	
1	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(50.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 83.5)	(67.86, 83.93, 82.14, 85.71, 85.19, 82.76, 83.64, 14.323)	
2	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(17.86, 58.93, 60.71, 57.14, 58.62, 59.26, 59.65, 152.24)	(35.71, 67.86, 75.0, 60.71, 65.62, 70.83, 70.0, 25.957)	
3	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(10.71, 55.36, 60.71, 50.0, 54.84, 56.0, 57.63, 189.201)	(21.43, 60.71, 57.14, 64.29, 61.54, 60.0, 59.26, 34.829)	
4	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(14.29, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 272.265)	(10.71, 55.36, 75.0, 35.71, 53.85, 58.82, 62.69, 44.684)	
5	stump_with_memoization,1,1,40,(20,45,30),false,Any[],TestOp_80	(57.14, 78.57, 75.0, 82.14, 80.77, 76.67, 77.78, 130.177)	(39.29, 69.64, 75.0, 64.29, 67.74, 72.0, 71.19, 42.219)	
