Dataseed	datadirname	use_training_form	binning	ignore_last_minutes	moving_average	regression_window_in_minutes	regression_step_in_minutes	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,1,0.01,0.4)train_accuracy	T(entropy,1,0.01,0.4)K	T(entropy,1,0.01,0.4)accuracy	T(entropy,1,0.01,0.4)macro_sensitivity	T(entropy,1,0.01,0.4)safe_macro_sensitivity	T(entropy,1,0.01,0.4)safe_macro_specificity	T(entropy,1,0.01,0.4)safe_macro_PPV	T(entropy,1,0.01,0.4)safe_macro_NPV	T(entropy,1,0.01,0.4)safe_macro_F1	T(entropy,1,0.01,0.4)n_nodes	T(entropy,1,0.01,0.4)n_leaves	T(entropy,1,0.01,0.4)height	T(entropy,1,0.01,0.4)modal_height	T(entropy,1,0.01,0.4)t	T(entropy,1,0.01,0.4)hash	T(entropy,1,0.01,0.6)train_accuracy	T(entropy,1,0.01,0.6)K	T(entropy,1,0.01,0.6)accuracy	T(entropy,1,0.01,0.6)macro_sensitivity	T(entropy,1,0.01,0.6)safe_macro_sensitivity	T(entropy,1,0.01,0.6)safe_macro_specificity	T(entropy,1,0.01,0.6)safe_macro_PPV	T(entropy,1,0.01,0.6)safe_macro_NPV	T(entropy,1,0.01,0.6)safe_macro_F1	T(entropy,1,0.01,0.6)n_nodes	T(entropy,1,0.01,0.6)n_leaves	T(entropy,1,0.01,0.6)height	T(entropy,1,0.01,0.6)modal_height	T(entropy,1,0.01,0.6)t	T(entropy,1,0.01,0.6)hash	T(entropy,1,0.001,0.4)train_accuracy	T(entropy,1,0.001,0.4)K	T(entropy,1,0.001,0.4)accuracy	T(entropy,1,0.001,0.4)macro_sensitivity	T(entropy,1,0.001,0.4)safe_macro_sensitivity	T(entropy,1,0.001,0.4)safe_macro_specificity	T(entropy,1,0.001,0.4)safe_macro_PPV	T(entropy,1,0.001,0.4)safe_macro_NPV	T(entropy,1,0.001,0.4)safe_macro_F1	T(entropy,1,0.001,0.4)n_nodes	T(entropy,1,0.001,0.4)n_leaves	T(entropy,1,0.001,0.4)height	T(entropy,1,0.001,0.4)modal_height	T(entropy,1,0.001,0.4)t	T(entropy,1,0.001,0.4)hash	T(entropy,1,0.001,0.6)train_accuracy	T(entropy,1,0.001,0.6)K	T(entropy,1,0.001,0.6)accuracy	T(entropy,1,0.001,0.6)macro_sensitivity	T(entropy,1,0.001,0.6)safe_macro_sensitivity	T(entropy,1,0.001,0.6)safe_macro_specificity	T(entropy,1,0.001,0.6)safe_macro_PPV	T(entropy,1,0.001,0.6)safe_macro_NPV	T(entropy,1,0.001,0.6)safe_macro_F1	T(entropy,1,0.001,0.6)n_nodes	T(entropy,1,0.001,0.6)n_leaves	T(entropy,1,0.001,0.6)height	T(entropy,1,0.001,0.6)modal_height	T(entropy,1,0.001,0.6)t	T(entropy,1,0.001,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_trees	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_trees	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	RF(0.7,100,half,all)train_accuracy	RF(0.7,100,half,all)K	RF(0.7,100,half,all)accuracy	RF(0.7,100,half,all)macro_sensitivity	RF(0.7,100,half,all)safe_macro_sensitivity	RF(0.7,100,half,all)safe_macro_specificity	RF(0.7,100,half,all)safe_macro_PPV	RF(0.7,100,half,all)safe_macro_NPV	RF(0.7,100,half,all)safe_macro_F1	RF(0.7,100,half,all)oob_error	RF(0.7,100,half,all)n_trees	RF(0.7,100,half,all)n_nodes	RF(0.7,100,half,all)σ² train_accuracy	RF(0.7,100,half,all)σ² K	RF(0.7,100,half,all)σ² accuracy	RF(0.7,100,half,all)σ² macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_specificity	RF(0.7,100,half,all)σ² safe_macro_PPV	RF(0.7,100,half,all)σ² safe_macro_NPV	RF(0.7,100,half,all)σ² safe_macro_F1	RF(0.7,100,half,all)σ² oob_error	RF(0.7,100,half,all)σ² n_trees	RF(0.7,100,half,all)σ² n_nodes	RF(0.7,100,half,all)t	RF(0.7,100,half,all)hash	
1	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(15,)]	98.37	3.46	43.8	46.03	46.03	71.71	35.21	67.74	25.9	41	21	6	5	56.903	135f19255277088dd7f73dcc7d6a7df1d9bb966550e3b1815fd7e4598c85562c	95.12	3.56	44.08	46.13	46.13	71.81	35.26	67.77	26.05	35	18	6	5	9.085	1cb597b4f1b5ab51b559698cffcaf5de5f8891d66dad50a6240263fc0305d115	98.37	3.46	43.8	46.03	46.03	71.71	35.21	67.74	25.9	41	21	6	5	9.019	135f19255277088dd7f73dcc7d6a7df1d9bb966550e3b1815fd7e4598c85562c	95.12	3.56	44.08	46.13	46.13	71.81	35.26	67.77	26.05	35	18	6	5	8.989	1cb597b4f1b5ab51b559698cffcaf5de5f8891d66dad50a6240263fc0305d115	99.51	3.76	43.08	47.07	47.07	73.06	35.41	67.88	25.64	0.0	5000.0	153040.0	0.0	0.02	0.09	0.22	0.22	0.04	0.0	0.0	0.02	0.0	0.0	21880.0	0.0	("7fca5cc4745d8d91f8b85c2c044f7eeb177c33f7d463dd4595cef4f498be298e", "173ae9133d0565503652ea3e2314b0eb32280ae440e1754017e106700497d2b4", "e57c08cbb4f99e88ad0d5275fba81fc58184861792e769c5649ca1dd30e35b8b", "4d294ee0a0b2729212a3fffa6f596da99084da3d597b8c84d2726e2fe3145437", "e555e7d965ed4bf0e190916632d8a2c39d9daac1c71713c52f643c704d40a819")	100.0	4.42	46.71	47.47	47.47	73.42	35.62	68.05	27.17	54.63	10000.0	306600.0	0.0	0.0	0.1	0.16	0.16	0.01	0.0	0.0	0.01	0.19	0.0	58600.0	614.877	("89300db7e1975dd34d88ff4587f76cfa220ab42bb6f4c0a9ab25c9d9d0f72440", "61b766c34fe7bac2b9d4296a5a9d57fcb37448da24b42f472e6f68bf695c7b75", "19bdc3240212f574266a52e57110e0812ebf016ec1b54d85ecc45c5d776eef68", "76c7f102df963dd7fb9b7ae26f05aef10dcc51d1dbb50052ca0f425aa49b6224", "401e6b1dadd87b5db28e928151939cb468b44c1fea32cf9a395dff972e7baa7a")	
2	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(15,)]	98.37	1.85	41.57	47.24	47.24	69.17	34.64	67.23	24.88	43	22	7	5	41.422	8651c64453ef60f4697550acf86474a575a740ff5ecb16123c52506b6f28fe75	93.5	1.45	35.32	47.51	47.51	69.13	34.46	67.12	22.19	33	17	7	5	14.325	b61c60b9d4f74758a8b21e99d60eb4a211f64b83b9a9c177f80a69f0c008f9c7	98.37	1.85	41.57	47.24	47.24	69.17	34.64	67.23	24.88	43	22	7	5	14.319	8651c64453ef60f4697550acf86474a575a740ff5ecb16123c52506b6f28fe75	93.5	1.45	35.32	47.51	47.51	69.13	34.46	67.12	22.19	33	17	7	5	14.291	b61c60b9d4f74758a8b21e99d60eb4a211f64b83b9a9c177f80a69f0c008f9c7	99.67	4.27	52.82	50.96	50.96	71.18	35.64	67.85	29.77	0.0	5000.0	147720.0	0.0	0.01	0.08	0.16	0.16	0.02	0.0	0.0	0.01	0.0	0.0	19320.0	0.0	("41698f6aa1e6db545c085e24d509121111976f167b579b592ef8e222c1b6b758", "6aa1b211408473a67dc4175941167a7d5081311052fbd3ee95b1949038ba014e", "3216abef2ad6a0b1960fd5bc18ac4a1011a4551b3d0392dd1043a3a7cb37f0eb", "b7c27ac295a21985054ca06f2713309a1e03bebb8e6549728afcbfc8de4216c3", "0f19825127d350b6038238bbfc8a20454d65110b66ca2d4e23edc5096f9f9c36")	100.0	4.17	52.19	50.14	50.14	71.2	35.57	67.84	29.47	49.76	10000.0	296360.0	0.0	0.01	0.07	0.06	0.06	0.02	0.0	0.0	0.01	0.06	0.0	40880.0	666.519	("ee872794f1f576ca66de751d8feb2576f669adb789902b8a92651155c14a04c9", "11223f7885b6323cfdfce42f55aab16fc865c53f0b6b5d51c3c130bb9df278d5", "08c83d6ed5aad392899a746acb5fbd5c5bcb8a1cd866cd2ca8803b90efcb9c14", "6d12c6df7c035c93399f12c8b866e0dc90e15279725bdff5f08405f4f7297abb", "1b82c6b405439190cf028e7f5abffc4138ea135c4a0a61df4b61cb787e85750c")	
3	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(15,)]	98.37	2.68	40.73	44.46	44.46	72.35	34.87	67.53	24.13	47	24	8	6	39.942	a8ede2e342b607df687b31ade47f10ae1b002e770e9e389c1e9df0c8fd05f6b7	86.18	3.45	41.29	45.65	45.65	73.41	35.28	67.77	24.69	25	13	6	5	12.81	672cb31dc0de3cee29b2c062eb881686d3a60aa4f820e33090ea77a766e380a8	98.37	2.68	40.73	44.46	44.46	72.35	34.87	67.53	24.13	47	24	8	6	13.497	a8ede2e342b607df687b31ade47f10ae1b002e770e9e389c1e9df0c8fd05f6b7	86.18	3.45	41.29	45.65	45.65	73.41	35.28	67.77	24.69	25	13	6	5	12.904	672cb31dc0de3cee29b2c062eb881686d3a60aa4f820e33090ea77a766e380a8	99.84	4.02	49.39	49.65	49.65	72.58	35.47	67.87	28.17	0.0	5000.0	149640.0	0.0	0.01	0.16	0.01	0.01	0.03	0.0	0.0	0.03	0.0	0.0	98680.0	0.0	("b34e23157c4bef340a832edd06ba27432e046ef3df5fd46a9b1275a2945f63a0", "431e727c403284189f3e2d7013d948b3ed0065556fd861f418e398e2dd31e153", "fbdcf112ef7835b8497df01b9e67739ff42aa1f9a05514a2cbdc4414c33f1f29", "cd410319e4917e075978974e914f8811b63e8d967337ea5e44f7cd7657ae1398", "139d1d250fa59a0cc8ca90640f0db9d97fc3e4053d2808be49060eaf02c8480f")	100.0	4.86	50.87	51.07	51.07	73.68	35.84	68.11	29.05	52.85	10000.0	298920.0	0.0	0.0	0.03	0.06	0.06	0.01	0.0	0.0	0.01	0.08	0.0	134120.0	593.156	("7aae6c1049bdf161ec9422bf1769ef9bc480987c3ca31aeb756ecc10bb3ffcc7", "2578291964add3e4b5ebd55af58fb08eb93ac44c13c8a945c2913ab29f785ead", "3f5acc22cdb97dbc23e29a0b4180ff026f735f48e6af526c3295cad77c394ee3", "af1b14ff308111fb5cc3686507bfc7cff00de0d7492a77e9c2fc2ec590c61092", "3aaebe9e1a641f7f9883764a135ecf25e27b506d46c00e37122eb7f5df53ca2d")	
4	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(15,)]	98.37	0.4	39.24	39.44	39.44	67.24	33.62	66.78	22.9	51	26	8	6	20.776	4bb284bd27d97195739467f2a5206305d72d50b4fbd9871d251d01ebdb281301	89.43	-0.44	42.22	37.54	37.54	66.6	33.13	66.54	23.39	29	15	6	5	7.518	73c290fc34b6ad17056826039a649bd8ccec3659326dd18647867994f71d9e62	98.37	0.4	39.24	39.44	39.44	67.24	33.62	66.78	22.9	51	26	8	6	7.797	4bb284bd27d97195739467f2a5206305d72d50b4fbd9871d251d01ebdb281301	89.43	-0.44	42.22	37.54	37.54	66.6	33.13	66.54	23.39	29	15	6	5	7.43	73c290fc34b6ad17056826039a649bd8ccec3659326dd18647867994f71d9e62	100.0	4.89	51.26	50.11	50.11	73.17	35.77	68.1	29.08	0.0	5000.0	151960.0	0.0	0.01	0.13	0.22	0.22	0.02	0.0	0.0	0.02	0.0	0.0	69880.0	0.0	("7efe205c40284ff212cd511f0382928a5043474aa7cafe6ecc35425ed9097328", "9eaa3fa7c74709bc844ad40751633b5cf7b395c21d7bdd9ddb72b981b87bad22", "0bd469591e36c7dabe02a5919044da5f19840c4b80ef5ef4856af814f9e86764", "0fc5a6d86759ab1949a4629a27e94f293cc039c31da11e342b3327830417c7c3", "cfdaef1e864a078769290a36c4beca45fcbfed5bc4b7a69d0983b34196eb083d")	100.0	5.93	53.1	51.16	51.16	74.43	36.16	68.38	30.01	48.62	10000.0	304840.0	0.0	0.0	0.06	0.09	0.09	0.01	0.0	0.0	0.0	0.07	0.0	148480.0	592.585	("6995ec2aa7abe6c9f465964ce129b45a0bcc5f200fba3c2dc6aaef7dfbe26bd2", "56154914d8754903cb4942d4105d4d3262f1f6fab064bf2016d891c622bb02fc", "1b622d104b5eda2b1c834c7efd11c1d9be905f3b0ef1fc507ec430c33b5b7a29", "10cd5f78c30e2595753459aae1baf758ffabb2930c4bea4cd9846820902e7481", "a9ca06c1716320929361064a5abd5cff556c69a0c18dfbe700d85aefb97158eb")	
5	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(15,)]	99.19	4.46	48.0	40.06	40.06	73.3	35.78	67.98	27.75	47	24	7	6	31.575	61cb1efc7c2d6577c52025b2dbeff91dfaf089069d506dec80f825486f0c10e3	90.24	3.13	50.23	39.37	39.37	70.68	34.92	67.56	27.76	31	16	7	6	13.644	0b114bcb3a8eb53439c7745d74b4158350b24ad73dd1d57f2d6509cfe979426a	99.19	4.46	48.0	40.06	40.06	73.3	35.78	67.98	27.75	47	24	7	6	14.176	61cb1efc7c2d6577c52025b2dbeff91dfaf089069d506dec80f825486f0c10e3	90.24	3.13	50.23	39.37	39.37	70.68	34.92	67.56	27.76	31	16	7	6	13.546	0b114bcb3a8eb53439c7745d74b4158350b24ad73dd1d57f2d6509cfe979426a	100.0	4.83	50.51	48.73	48.73	73.3	35.72	68.1	28.73	0.0	5000.0	156240.0	0.0	0.03	0.17	0.22	0.22	0.04	0.0	0.0	0.02	0.0	0.0	21080.0	0.0	("de6a446b82f27cd9b58aa7c9454604798e433191b245aa0eed51ba08cf1a10be", "f946ef670353ec207c5f6b40751132902f392b429e63de38b8785404d60adc97", "751471212b837ebadbed2154291f05015aa526b21dae5040a74aa722d551cf8f", "35508805a343ae4b09b31a8837501f40598af1cb27a248cc971911802e1b7753", "1960afbc1a50c81529a74d6e1c64686ebaf698027db22b13f030556dbde11971")	100.0	4.76	51.07	49.84	49.84	73.17	35.7	68.06	28.93	51.22	10000.0	310480.0	0.0	0.02	0.23	0.18	0.18	0.03	0.0	0.0	0.03	0.01	0.0	32920.0	589.113	("fd4e908420136c70b2cfc5527df1503f23fe052f369f88f73944e1b0991f0e79", "7705d7b6cb84f38f5edacd2cab6fac6ed46c4f41f335cf0ad78dd368def54212", "39f8fc475b8e16798b34ca320390c4986271bc936453f2e7b4ef5fffef084ece", "ad49fe7086cd95765a8f0785a765521929dea3ae4c72dbc472a365409aee7909", "0caef654888b23b3fb425871f1cf6da0e5cf3b1c75759ba4c53d0654a0356a31")	
6	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(15,)]	96.75	1.29	40.17	32.27	32.27	70.05	33.97	67.1	23.02	47	24	9	9	15.721	9f07d977f076946bd75cd1b9db1d95f45f2716dfaea3a62a2add4ee3c52b82c1	89.43	1.39	38.4	36.12	36.12	70.59	34.18	67.12	22.52	33	17	8	7	7.352	b0f7f15da475aa0ec1b5c1e78a264a9c95d10c894ea41d80fd2c5171b3a0e5af	96.75	1.29	40.17	32.27	32.27	70.05	33.97	67.1	23.02	47	24	9	9	7.105	9f07d977f076946bd75cd1b9db1d95f45f2716dfaea3a62a2add4ee3c52b82c1	89.43	1.39	38.4	36.12	36.12	70.59	34.18	67.12	22.52	33	17	8	7	7.337	b0f7f15da475aa0ec1b5c1e78a264a9c95d10c894ea41d80fd2c5171b3a0e5af	99.67	2.58	47.75	39.09	39.09	71.94	34.48	67.49	26.17	0.0	5000.0	155480.0	0.0	0.01	0.1	0.04	0.04	0.02	0.0	0.0	0.01	0.0	0.0	38120.0	0.0	("a8509c7b6492e2bba0199b7ebc9355a71d38cb04b3423667064d4173468974e7", "8952cd1056d84d16b222529105cae612f4903d50f843cedf565c0f946ec48836", "f7051bdac3f251352f0e86fe8b879deee7438a68f416dce5f1efe3b16fc1dd5e", "65b57fc65d8adb7933dbe9b1edf308125078ee1191de4b147752b85eb20809c3", "15093d22c6f95a3e3ec26ffabdb084dc154679eb9c680b96acc8cb171e4c1edf")	100.0	3.45	50.75	40.26	40.26	73.32	34.8	67.76	27.4	52.03	10000.0	310880.0	0.0	0.0	0.03	0.05	0.05	0.01	0.0	0.0	0.0	0.08	0.0	164320.0	544.138	("70fcc2532d589015fb55fbfab97df8c6a09e8fa7a17774a7e71be897dcbe9d0e", "3f2da5c6f339e1338d3070b080e23199c114c0e1b19484f812031dbc3a683204", "d27897e93d13e76da9740be014a0eb395c2914fcee0188292c03832f728533c7", "cdaf697a71200f51f3932fa794d37d3c277f1803f7654b8a39ae9ea51e5975ca", "b475728e9991ffe0a0c1fe8c4094e921d4f5b02b925bcc288d9aae37e4cb8c31")	
7	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(15,)]	100.0	1.37	39.05	36.85	36.85	69.59	34.11	67.12	22.92	49	25	8	7	30.92	b56d939a0fc0d77c9c15879e2ce2394e738c2aaf3095c8be944f909610cc841f	87.8	1.29	42.31	41.56	41.56	68.46	34.09	67.06	24.37	33	17	8	7	13.493	d9bba350a146cd1a3acd27816173760c4b8a34372b101a479b98b264efe1aa5f	100.0	1.37	39.05	36.85	36.85	69.59	34.11	67.12	22.92	49	25	8	7	14.277	b56d939a0fc0d77c9c15879e2ce2394e738c2aaf3095c8be944f909610cc841f	87.8	1.29	42.31	41.56	41.56	68.46	34.09	67.06	24.37	33	17	8	7	13.505	d9bba350a146cd1a3acd27816173760c4b8a34372b101a479b98b264efe1aa5f	99.84	4.07	52.94	51.92	51.92	71.57	35.54	67.81	29.63	0.0	5000.0	155240.0	0.0	0.0	0.12	0.1	0.1	0.01	0.0	0.0	0.01	0.0	0.0	61280.0	0.0	("888f5291ab0f476add8be5d480b1ef5ddc23c92db8659654dbacd8a994b18d42", "f1e380fe0ceac31abff71a3ade02ea9200a85335cf6240e4a65457cfe65c68cc", "4363fceab9dca5be3fc10ec7b8b10cc15382c0627cb898374ea5b1b9e8d60b62", "2fec6ac48c095a3b22f5cf05abef6d69232a326e5fd8a112c270b35ccbaa1e95", "752f969cfbcd93a9e31ba2b81aba5d1fbcf9b5290f00e7b6197809ef6d3724f7")	100.0	4.91	54.73	50.16	50.16	72.78	35.73	68.05	30.23	54.15	10000.0	310880.0	0.0	0.01	0.05	0.07	0.07	0.01	0.0	0.0	0.0	0.12	0.0	122920.0	586.367	("0fb1515f0fdad3be2c594c4ffbc41b6c190123432266770fcd66851f199191d1", "c7823cb55acb14542f278ed08d611f1735bb39957da8a57feec9b6752629c32c", "4d9132a003cef12d9bc793607ebd9883059bf45cff2aba0cda5ff8c44e214c3b", "f37644eb7d128081c5217b0798970de299bbebb7507080d6bd9d84b138afea68", "121412638a06a4aff6acde614835336648e9050d8559d42db731a30eca72d0ca")	
8	Siemens-Data-Measures	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	10	(4,4)	60	60	123	1073	(41, 41, 41)	(11, 999, 63)	[52]	[(15,)]	99.19	0.45	29.92	38.04	38.04	66.71	33.66	66.87	19.22	51	26	11	8	37.791	b102b39d44c12ee49d6590de5a222432fa9232bd89e35d3c529e5ce6a366b430	87.8	0.96	33.55	39.34	39.34	67.94	34.06	67.03	20.98	29	15	9	7	19.755	bdad6d7e9e6b099dd670ed7179eb9a1958beb173ffabb1311ca74e15ec3ac3e4	99.19	0.45	29.92	38.04	38.04	66.71	33.66	66.87	19.22	51	26	11	8	20.508	b102b39d44c12ee49d6590de5a222432fa9232bd89e35d3c529e5ce6a366b430	87.8	0.96	33.55	39.34	39.34	67.94	34.06	67.03	20.98	29	15	9	7	19.701	bdad6d7e9e6b099dd670ed7179eb9a1958beb173ffabb1311ca74e15ec3ac3e4	100.0	3.03	45.8	43.45	43.45	71.57	35.11	67.63	26.51	0.0	5000.0	149880.0	0.0	0.01	0.07	0.17	0.17	0.01	0.0	0.0	0.03	0.0	0.0	29320.0	0.0	("b098a10b06605b11a04b78a3ee021567853ce701e020c62a5adc9efed2f24740", "bcc208e33932f369a4646da934a705ec7b3386416d8d092e9e1991253d70a1e9", "3babe0b5bbaf9aaf5e5985483c0bf587d302c09ba8047a9c2f9ce660a8f23a6c", "8a352989897fbcd380535e5b89e159efc69820d4dbff9acf1a04c78642e739c6", "631c8f71ab307ecf884e2ae5b91ef372ad06d943fb0f1447f4f7d70d4646537f")	99.84	3.24	46.71	43.37	43.37	71.88	35.16	67.69	26.83	50.73	10000.0	299680.0	0.0	0.01	0.04	0.1	0.1	0.02	0.0	0.0	0.02	0.1	0.0	45920.0	615.443	("56d4167bffccc8b553e065f171b5e155fd78a1974e543ba8f35b5ccd7008f460", "c72c750b4464cd94739bf870b0fc66e0be09896c25f6d2a2e8da56f70f1bbd30", "7d0634bf89371e2fce684fb00dcf027d3f5e442388f372e3b4b1eb34125d9868", "396d14fb36fbf8ee4c710e31214d8b8b4c56291bb60d0c94d7290274ac682992", "3fb13f95599d59158ff89f85619742775781a86b4f0eb64b72a5273cb3539420")	
